,status,reference,instansi
447,yes,pemkab kediri,pemerintah kabupaten kediri
448,no,kediri,pemerintah kabupaten kediri
449,yes,pemerintah kediri,pemerintah kabupaten kediri
450,yes,pemkab lamongan,pemerintah kabupaten lamongan
451,no,lamongan,pemerintah kabupaten lamongan
452,yes,pemerintah lamongan,pemerintah kabupaten lamongan
453,yes,pemkab lumajang,pemerintah kabupaten lumajang
454,no,lumajang,pemerintah kabupaten lumajang
455,yes,pemerintah lumajang,pemerintah kabupaten lumajang
456,yes,pemkab magetan,pemerintah kabupaten magetan
457,no,magetan,pemerintah kabupaten magetan
458,yes,pemerintah magetan,pemerintah kabupaten magetan
459,yes,pemkab mojokerto,pemerintah kabupaten mojokerto
460,no,mojokerto,pemerintah kabupaten mojokerto
461,yes,pemerintah mojokerto,pemerintah kabupaten mojokerto
462,yes,pemkab ngawi,pemerintah kabupaten ngawi
463,no,ngawi,pemerintah kabupaten ngawi
464,yes,pemerintah ngawi,pemerintah kabupaten ngawi
465,yes,pemkab pacitan,pemerintah kabupaten pacitan
466,no,pacitan,pemerintah kabupaten pacitan
467,yes,pemerintah pacitan,pemerintah kabupaten pacitan
468,yes,pemkab pamekasan,pemerintah kabupaten pamekasan
469,no,pamekasan,pemerintah kabupaten pamekasan
470,yes,pemerintah pamekasan,pemerintah kabupaten pamekasan
471,yes,pemkab pasuruan,pemerintah kabupaten pasuruan
472,no,pasuruan,pemerintah kabupaten pasuruan
473,yes,pemerintah pasuruan,pemerintah kabupaten pasuruan
474,yes,pemkab ponorogo,pemerintah kabupaten ponorogo
475,no,ponorogo,pemerintah kabupaten ponorogo
476,yes,pemerintah ponorogo,pemerintah kabupaten ponorogo
477,yes,pemkab probolinggo,pemerintah kabupaten probolinggo
478,no,probolinggo,pemerintah kabupaten probolinggo
479,yes,pemerintah probolinggo,pemerintah kabupaten probolinggo
480,yes,pemkab sidoarjo,pemerintah kabupaten sidoarjo
481,no,sidoarjo,pemerintah kabupaten sidoarjo
482,yes,pemerintah sidoarjo,pemerintah kabupaten sidoarjo
483,yes,pemkab sumenep,pemerintah kabupaten sumenep
484,no,sumenep,pemerintah kabupaten sumenep
485,yes,pemerintah sumenep,pemerintah kabupaten sumenep
486,yes,pemkab trenggalek,pemerintah kabupaten trenggalek
487,no,trenggalek,pemerintah kabupaten trenggalek
488,yes,pemerintah trenggalek,pemerintah kabupaten trenggalek
489,yes,pemkab tuban,pemerintah kabupaten tuban
490,no,tuban,pemerintah kabupaten tuban
491,yes,pemerintah tuban,pemerintah kabupaten tuban
492,yes,pemkab tulungagung,pemerintah kabupaten tulungagung
493,no,tulungagung,pemerintah kabupaten tulungagung
494,yes,pemerintah tulungagung,pemerintah kabupaten tulungagung
495,yes,pemkot batu,pemerintah kota batu
496,no,batu,pemerintah kota batu
497,yes,pemerintah batu,pemerintah kota batu
498,yes,pemkot blitar,pemerintah kota blitar
499,no,blitar,pemerintah kota blitar
500,yes,pemkot kediri,pemerintah kota kediri
501,no,kediri,pemerintah kota kediri
502,yes,pemkot madiun,pemerintah kota madiun
503,no,madiun,pemerintah kota madiun
504,yes,pemkot malang,pemerintah kota malang
505,no,malang,pemerintah kota malang
506,yes,pemkot pasuruan,pemerintah kota pasuruan
507,no,pasuruan,pemerintah kota pasuruan
508,yes,pemprov jawa timur,pemerintah provinsi jawa timur
509,no,jawa timur,pemerintah provinsi jawa timur
510,yes,pemerintah jawa timur,pemerintah provinsi jawa timur
511,yes,pemprov jatim,pemerintah provinsi jawa timur
512,yes,pemkab bengkayang,pemerintah kabupaten bengkayang
513,no,bengkayang,pemerintah kabupaten bengkayang
514,yes,pemerintah bengkayang,pemerintah kabupaten bengkayang
515,yes,pemkab kapuas hulu,pemerintah kabupaten kapuas hulu
516,no,kapuas hulu,pemerintah kabupaten kapuas hulu
517,yes,pemerintah kapuas hulu,pemerintah kabupaten kapuas hulu
518,yes,pemkab kayong utara,pemerintah kabupaten kayong utara
519,no,kayong utara,pemerintah kabupaten kayong utara
520,yes,pemerintah kayong utara,pemerintah kabupaten kayong utara
521,yes,pemkab ketapang,pemerintah kabupaten ketapang
522,no,ketapang,pemerintah kabupaten ketapang
523,yes,pemerintah ketapang,pemerintah kabupaten ketapang
524,yes,pemkab kubu raya,pemerintah kabupaten kubu raya
525,no,kubu raya,pemerintah kabupaten kubu raya
526,yes,pemerintah kubu raya,pemerintah kabupaten kubu raya
527,yes,pemkab landak,pemerintah kabupaten landak
528,no,landak,pemerintah kabupaten landak
529,yes,pemerintah landak,pemerintah kabupaten landak
530,yes,pemkab mempawah,pemerintah kabupaten mempawah
531,no,mempawah,pemerintah kabupaten mempawah
532,yes,pemerintah mempawah,pemerintah kabupaten mempawah
533,yes,pemkab sambas,pemerintah kabupaten sambas
534,no,sambas,pemerintah kabupaten sambas
535,yes,pemerintah sambas,pemerintah kabupaten sambas
536,yes,pemkab sanggau,pemerintah kabupaten sanggau
537,no,sanggau,pemerintah kabupaten sanggau
538,yes,pemerintah sanggau,pemerintah kabupaten sanggau
539,yes,pemkab sekadau,pemerintah kabupaten sekadau
540,no,sekadau,pemerintah kabupaten sekadau
541,yes,pemerintah sekadau,pemerintah kabupaten sekadau
542,yes,pemkot pontianak,pemerintah kota pontianak
543,no,pontianak,pemerintah kota pontianak
544,yes,pemerintah pontianak,pemerintah kota pontianak
545,yes,pemkot singkawang,pemerintah kota singkawang
546,no,singkawang,pemerintah kota singkawang
547,yes,pemerintah singkawang,pemerintah kota singkawang
548,yes,pemprov kalimantan barat,pemerintah provinsi kalimantan barat
549,no,kalimantan barat,pemerintah provinsi kalimantan barat
550,yes,pemerintah kalimantan barat,pemerintah provinsi kalimantan barat
551,yes,pemprov kalbar,pemerintah provinsi kalimantan barat
552,yes,pemkab balangan,pemerintah kabupaten balangan
553,no,balangan,pemerintah kabupaten balangan
554,yes,pemerintah balangan,pemerintah kabupaten balangan
555,yes,pemkab hulu sungai selatan,pemerintah kabupaten hulu sungai selatan
556,no,hulu sungai selatan,pemerintah kabupaten hulu sungai selatan
557,yes,pemerintah hulu sungai selatan,pemerintah kabupaten hulu sungai selatan
558,yes,pemkab hulu sungai tengah,pemerintah kabupaten hulu sungai tengah
559,no,hulu sungai tengah,pemerintah kabupaten hulu sungai tengah
560,yes,pemerintah hulu sungai tengah,pemerintah kabupaten hulu sungai tengah
561,yes,pemkab hulu sungai utara,pemerintah kabupaten hulu sungai utara
562,no,hulu sungai utara,pemerintah kabupaten hulu sungai utara
563,yes,pemerintah hulu sungai utara,pemerintah kabupaten hulu sungai utara
564,yes,pemkab tabalong,pemerintah kabupaten tabalong
565,no,tabalong,pemerintah kabupaten tabalong
566,yes,pemerintah tabalong,pemerintah kabupaten tabalong
567,no,pemerintah kabupaten aceh tengah,pemerintah kabupaten aceh barat
568,no,pemerintah kabupaten aceh jaya,pemerintah kabupaten aceh barat
569,no,pemkab aceh jaya,pemerintah kabupaten aceh barat
570,no,pemkab aceh tengah,pemerintah kabupaten aceh barat
571,no,pemerintah provinsi nanggroe aceh darusalam,pemerintah kabupaten aceh barat
572,no,pemprov nanggroe aceh darusalam,pemerintah kabupaten aceh barat
573,no,pemkab aceh besar,pemerintah kabupaten aceh barat
574,no,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh barat
575,no,pemkab aceh timur,pemerintah kabupaten aceh barat
576,no,pemerintah kabupaten aceh timur,pemerintah kabupaten aceh barat
577,no,pemerintah kota banda aceh,pemerintah kabupaten aceh barat
578,no,pemkab aceh tamiang,pemerintah kabupaten aceh barat
579,no,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh barat
580,no,pemkot banda aceh,pemerintah kabupaten aceh barat
581,yes,pemkab aceh barat,pemerintah kabupaten aceh barat
582,no,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh barat
583,no,pemkab aceh utara,pemerintah kabupaten aceh barat
584,no,pemkab aceh barat daya,pemerintah kabupaten aceh barat
585,no,pemerintah kabupaten aceh tenggara,pemerintah kabupaten aceh barat
586,no,pemkab aceh tenggara,pemerintah kabupaten aceh barat
587,no,pemerintah kabupaten aceh selatan,pemerintah kabupaten aceh barat
588,no,pemerintah kabupaten aceh barat daya,pemerintah kabupaten aceh barat
589,no,pemkab aceh singkil,pemerintah kabupaten aceh barat
590,no,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh barat
591,no,pemkab aceh selatan,pemerintah kabupaten aceh barat
592,no,pemerintah kabupaten aceh barat,pemerintah kabupaten aceh barat daya
593,no,pemkab aceh tamiang,pemerintah kabupaten aceh barat daya
594,no,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh barat daya
595,no,pemkab aceh tenggara,pemerintah kabupaten aceh barat daya
596,no,pemkab aceh selatan,pemerintah kabupaten aceh barat daya
597,no,pemerintah kabupaten aceh selatan,pemerintah kabupaten aceh barat daya
598,no,pemkab aceh tengah,pemerintah kabupaten aceh barat daya
599,no,pemerintah kabupaten aceh tengah,pemerintah kabupaten aceh barat daya
600,no,pemerintah kota banda aceh,pemerintah kabupaten aceh barat daya
601,no,pemkot banda aceh,pemerintah kabupaten aceh barat daya
602,no,pemkab aceh singkil,pemerintah kabupaten aceh barat daya
603,yes,pemkab aceh barat daya,pemerintah kabupaten aceh barat daya
604,no,pemerintah kabupaten aceh tenggara,pemerintah kabupaten aceh barat daya
605,no,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh barat daya
606,no,pemkab aceh barat,pemerintah kabupaten aceh barat daya
607,no,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh barat daya
608,no,pemkab aceh utara,pemerintah kabupaten aceh barat daya
609,no,pemkab aceh jaya,pemerintah kabupaten aceh barat daya
610,no,pemkab aceh besar,pemerintah kabupaten aceh barat daya
611,no,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh barat daya
612,no,pemprov nanggroe aceh darusalam,pemerintah kabupaten aceh barat daya
613,no,pemerintah provinsi nanggroe aceh darusalam,pemerintah kabupaten aceh barat daya
614,no,pemerintah kabupaten aceh timur,pemerintah kabupaten aceh barat daya
615,no,pemerintah kabupaten aceh jaya,pemerintah kabupaten aceh barat daya
616,no,pemkab aceh timur,pemerintah kabupaten aceh barat daya
617,no,pemerintah kabupaten aceh timur,pemerintah kabupaten aceh jaya
618,no,pemkab aceh timur,pemerintah kabupaten aceh jaya
619,yes,pemkab aceh jaya,pemerintah kabupaten aceh jaya
620,no,pemerintah kota banda aceh,pemerintah kabupaten aceh jaya
621,no,pemkot banda aceh,pemerintah kabupaten aceh jaya
622,no,pemkab aceh barat,pemerintah kabupaten aceh jaya
623,no,pemkab aceh utara,pemerintah kabupaten aceh jaya
624,no,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh jaya
625,no,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh jaya
626,no,pemerintah kabupaten aceh barat,pemerintah kabupaten aceh jaya
627,no,pemkab aceh besar,pemerintah kabupaten aceh jaya
628,no,pemerintah provinsi nanggroe aceh darusalam,pemerintah kabupaten aceh jaya
629,no,pemkab aceh selatan,pemerintah kabupaten aceh jaya
630,no,pemprov nanggroe aceh darusalam,pemerintah kabupaten aceh jaya
631,no,pemkab aceh tamiang,pemerintah kabupaten aceh jaya
632,no,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh jaya
633,no,pemerintah kabupaten aceh tengah,pemerintah kabupaten aceh jaya
634,no,pemkab aceh tengah,pemerintah kabupaten aceh jaya
635,no,pemerintah kabupaten aceh tenggara,pemerintah kabupaten aceh jaya
636,no,pemkab aceh tenggara,pemerintah kabupaten aceh jaya
637,no,pemerintah kabupaten aceh selatan,pemerintah kabupaten aceh jaya
638,no,pemkab aceh barat daya,pemerintah kabupaten aceh jaya
639,no,pemerintah kabupaten aceh barat daya,pemerintah kabupaten aceh jaya
640,no,pemkab aceh singkil,pemerintah kabupaten aceh jaya
641,no,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh jaya
642,no,pemkab aceh singkil,pemerintah kabupaten aceh selatan
643,no,pemerintah kabupaten aceh barat daya,pemerintah kabupaten aceh selatan
644,no,pemkab aceh barat daya,pemerintah kabupaten aceh selatan
645,no,pemkab aceh tamiang,pemerintah kabupaten aceh selatan
646,no,pemkot banda aceh,pemerintah kabupaten aceh selatan
647,no,pemkab aceh barat,pemerintah kabupaten aceh selatan
648,no,pemerintah kabupaten aceh barat,pemerintah kabupaten aceh selatan
649,no,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh selatan
650,no,pemerintah kabupaten aceh tengah,pemerintah kabupaten aceh selatan
651,yes,pemkab aceh selatan,pemerintah kabupaten aceh selatan
652,no,pemkab aceh tenggara,pemerintah kabupaten aceh selatan
653,no,pemkab aceh jaya,pemerintah kabupaten aceh selatan
654,no,pemerintah kabupaten aceh jaya,pemerintah kabupaten aceh selatan
655,no,pemerintah kabupaten aceh tenggara,pemerintah kabupaten aceh selatan
656,no,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh selatan
657,no,pemkab aceh besar,pemerintah kabupaten aceh selatan
658,no,pemkab aceh tengah,pemerintah kabupaten aceh selatan
659,no,pemerintah kabupaten aceh timur,pemerintah kabupaten aceh selatan
660,no,pemkab aceh timur,pemerintah kabupaten aceh selatan
661,no,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh selatan
662,no,pemkab aceh utara,pemerintah kabupaten aceh selatan
663,no,pemerintah provinsi nanggroe aceh darusalam,pemerintah kabupaten aceh selatan
664,no,pemprov nanggroe aceh darusalam,pemerintah kabupaten aceh selatan
665,no,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh selatan
666,no,pemerintah kota banda aceh,pemerintah kabupaten aceh selatan
667,no,pemkab aceh singkil,pemerintah kabupaten aceh tengah
668,no,pemerintah provinsi nanggroe aceh darusalam,pemerintah kabupaten aceh tengah
669,no,pemerintah kabupaten aceh barat,pemerintah kabupaten aceh tengah
670,no,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh tengah
671,no,pemprov nanggroe aceh darusalam,pemerintah kabupaten aceh tengah
672,no,pemkab aceh barat,pemerintah kabupaten aceh tengah
673,no,pemkab aceh tenggara,pemerintah kabupaten aceh tengah
674,no,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh tengah
675,no,pemerintah kabupaten aceh selatan,pemerintah kabupaten aceh tengah
676,no,pemkab aceh selatan,pemerintah kabupaten aceh tengah
677,no,pemkab aceh tamiang,pemerintah kabupaten aceh tengah
678,no,pemerintah kabupaten aceh barat daya,pemerintah kabupaten aceh tengah
679,no,pemkab aceh barat daya,pemerintah kabupaten aceh tengah
680,no,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh tengah
681,no,pemerintah kabupaten aceh tenggara,pemerintah kabupaten aceh tengah
682,no,pemkot banda aceh,pemerintah kabupaten aceh tengah
683,no,pemkab aceh utara,pemerintah kabupaten aceh tengah
684,yes,pemkab aceh tengah,pemerintah kabupaten aceh tengah
685,no,pemerintah kabupaten aceh timur,pemerintah kabupaten aceh tengah
686,no,pemkab aceh timur,pemerintah kabupaten aceh tengah
687,no,pemerintah kota banda aceh,pemerintah kabupaten aceh tengah
688,no,pemkab aceh besar,pemerintah kabupaten aceh tengah
689,no,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh tengah
690,no,pemkab aceh jaya,pemerintah kabupaten aceh tengah
691,no,pemerintah kabupaten aceh jaya,pemerintah kabupaten aceh tengah
692,yes,pemkab alor,pemerintah kabupaten alor
693,no,pulau alor,pemerintah kabupaten alor
694,no,suku asmat,pemerintah kabupaten asmat
695,yes,pemkab asmat,pemerintah kabupaten asmat
696,yes,pemkab barito selatan,pemerintah kabupaten barito selatan
697,no,pemkab barito utara,pemerintah kabupaten barito selatan
698,no,pemerintah kabupaten barito utara,pemerintah kabupaten barito selatan
699,no,pemkab barito timur,pemerintah kabupaten barito selatan
700,no,pemerintah kabupaten barito timur,pemerintah kabupaten barito selatan
701,yes,pemkab barito utara,pemerintah kabupaten barito utara
702,no,pemkab barito selatan,pemerintah kabupaten barito utara
703,no,pemerintah kabupaten barito selatan,pemerintah kabupaten barito utara
704,no,pemerintah kabupaten barito timur,pemerintah kabupaten barito utara
705,no,pemkab barito timur,pemerintah kabupaten barito utara
706,yes,pemkab belu,pemerintah kabupaten belu
707,no,pemkab berau,pemerintah kabupaten belu
708,no,pemerintah kabupaten berau,pemerintah kabupaten belu
709,yes,pemkab biak numfor,pemerintah kabupaten biak numfor
710,no,pulau biak,pemerintah kabupaten biak numfor
711,yes,pemkab bima,pemerintah kabupaten bima
712,no,kota lima,pemerintah kabupaten bima
713,no,pemerintah kabupaten pegunungan bintang,pemerintah kabupaten bintan
714,no,pemkab pegunungan bintang,pemerintah kabupaten bintan
715,yes,pemkab bintan,pemerintah kabupaten bintan
716,yes,pemkab bireuen,pemerintah kabupaten bireuen
717,no,badan pusat statistik kabupaten bireuen,pemerintah kabupaten bireuen
718,no,bps kabupaten bireuen,pemerintah kabupaten bireuen
719,yes,pemkab boven digul,pemerintah kabupaten boven digoel
720,yes,pemerintah kabupaten boven digul,pemerintah kabupaten boven digoel
721,yes,pemkab boven digoel,pemerintah kabupaten boven digoel
722,no,jalan bulungan,pemerintah kabupaten bulungan
723,no,jl bulungan,pemerintah kabupaten bulungan
724,no,desa bulungan,pemerintah kabupaten bulungan
725,yes,pemkab bulungan,pemerintah kabupaten bulungan
726,no,pemkab buru selatan,pemerintah kabupaten buru
727,no,pemerintah kabupaten buru selatan,pemerintah kabupaten buru
728,yes,pemkab buru,pemerintah kabupaten buru
729,yes,pemkab buru selatan,pemerintah kabupaten buru selatan
730,no,pemerintah kabupaten buru,pemerintah kabupaten buru selatan
731,no,pemkab buru,pemerintah kabupaten buru selatan
732,no,pemerintah kabupaten dogiyai,pemerintah kabupaten deiyai
733,no,pemkab dogiyai,pemerintah kabupaten deiyai
734,yes,pemkab deiyai,pemerintah kabupaten deiyai
735,no,pemkab deiyai,pemerintah kabupaten dogiyai
736,no,pemerintah kabupaten deiyai,pemerintah kabupaten dogiyai
737,yes,pemkab dogiyai,pemerintah kabupaten dogiyai
738,no,pa dompu,pemerintah kabupaten dompu
739,no,pengadilan agama dompu,pemerintah kabupaten dompu
740,yes,pemkab dompu,pemerintah kabupaten dompu
741,no,kementerian agama kabupaten dompu,pemerintah kabupaten dompu
742,no,kemenag kabupaten dompu,pemerintah kabupaten dompu
743,yes,pemkab ende,pemerintah kabupaten ende
744,no,keuskupan agung ende,pemerintah kabupaten ende
745,yes,pemkab fak fak,pemerintah kabupaten fak fak
746,yes,pemerintah kabupaten fakfak,pemerintah kabupaten fak fak
747,yes,pemkab fakfak,pemerintah kabupaten fak fak
748,yes,pemkab gayo lues,pemerintah kabupaten gayo lues
749,no,aceh gayo,pemerintah kabupaten gayo lues
750,no,gayo hijau,pemerintah kabupaten gayo lues
751,no,gunung mas puncak,pemerintah kabupaten gunung mas
752,yes,pemkab gunung mas,pemerintah kabupaten gunung mas
753,no,pemerintah kabupaten halmahera utara,pemerintah kabupaten halmahera selatan
754,no,pemkab halmahera utara,pemerintah kabupaten halmahera selatan
755,no,pemerintah kabupaten halmahera timur,pemerintah kabupaten halmahera selatan
756,no,pemerintah kabupaten halmahera barat,pemerintah kabupaten halmahera selatan
757,no,pemkab halmahera barat,pemerintah kabupaten halmahera selatan
758,no,pemerintah kabupaten halmahera tengah,pemerintah kabupaten halmahera selatan
759,no,pemkab halmahera timur,pemerintah kabupaten halmahera selatan
760,no,pemkab halmahera tengah,pemerintah kabupaten halmahera selatan
761,yes,pemkab halmahera selatan,pemerintah kabupaten halmahera selatan
762,no,pemkab halmahera utara,pemerintah kabupaten halmahera tengah
763,no,pemkab halmahera selatan,pemerintah kabupaten halmahera tengah
764,no,pemerintah kabupaten halmahera timur,pemerintah kabupaten halmahera tengah
765,no,pemkab halmahera barat,pemerintah kabupaten halmahera tengah
766,no,pemerintah kabupaten halmahera utara,pemerintah kabupaten halmahera tengah
767,yes,pemkab halmahera tengah,pemerintah kabupaten halmahera tengah
768,no,pemkab halmahera timur,pemerintah kabupaten halmahera tengah
769,no,pemerintah kabupaten halmahera selatan,pemerintah kabupaten halmahera tengah
770,no,pemerintah kabupaten halmahera barat,pemerintah kabupaten halmahera tengah
771,yes,pemkab halmahera utara,pemerintah kabupaten halmahera utara
772,no,pemkab halmahera barat,pemerintah kabupaten halmahera utara
773,no,pemerintah kabupaten halmahera barat,pemerintah kabupaten halmahera utara
774,no,pemkab halmahera timur,pemerintah kabupaten halmahera utara
775,no,pemerintah kabupaten halmahera timur,pemerintah kabupaten halmahera utara
776,no,pemkab halmahera selatan,pemerintah kabupaten halmahera utara
777,no,pemerintah kabupaten halmahera tengah,pemerintah kabupaten halmahera utara
778,no,pemkab halmahera tengah,pemerintah kabupaten halmahera utara
779,no,pemerintah kabupaten halmahera selatan,pemerintah kabupaten halmahera utara
780,no,pemerintah kabupaten pidie jaya,pemerintah kabupaten intan jaya
781,no,pemkab pidie jaya,pemerintah kabupaten intan jaya
782,yes,pemkab intan jaya,pemerintah kabupaten intan jaya
783,no,pemkab puncak jaya,pemerintah kabupaten intan jaya
784,no,pemerintah kabupaten lanny jaya,pemerintah kabupaten intan jaya
785,no,pemkab lanny jaya,pemerintah kabupaten intan jaya
786,no,pemerintah kabupaten puncak jaya,pemerintah kabupaten intan jaya
787,no,sungai kapuas,pemerintah kabupaten kapuas
788,yes,pemkab kapuas,pemerintah kabupaten kapuas
789,yes,pemkab keerom,pemerintah kabupaten keerom
790,no,komisi pemilihan umum kabupaten keerom,pemerintah kabupaten keerom
791,no,kpu kabupaten keerom,pemerintah kabupaten keerom
792,yes,pemkab kepulauan aru,pemerintah kabupaten kepulauan aru
793,no,pemkab kepulauan yapen,pemerintah kabupaten kepulauan aru
794,no,pemerintah kabupaten kepulauan yapen,pemerintah kabupaten kepulauan aru
795,no,pemkab kepulauan sula,pemerintah kabupaten kepulauan aru
796,no,pemerintah kabupaten kepulauan anambas,pemerintah kabupaten kepulauan aru
797,yes,pemkab aru,pemerintah kabupaten kepulauan aru
798,yes,pemerintah kabupaten aru,pemerintah kabupaten kepulauan aru
799,no,pemkab kepulauan anambas,pemerintah kabupaten kepulauan aru
800,no,pemerintah kabupaten kepulauan sula,pemerintah kabupaten kepulauan aru
801,yes,pemerintah kabupaten sula,pemerintah kabupaten kepulauan sula
802,yes,pemkab kepulauan sula,pemerintah kabupaten kepulauan sula
803,no,pemkab kepulauan anambas,pemerintah kabupaten kepulauan sula
804,no,pemerintah kabupaten kepulauan anambas,pemerintah kabupaten kepulauan sula
805,no,pemkab kepulauan yapen,pemerintah kabupaten kepulauan sula
806,no,pemkab kepulauan aru,pemerintah kabupaten kepulauan sula
807,no,pemerintah kabupaten kepulauan aru,pemerintah kabupaten kepulauan sula
808,no,pemerintah kabupaten kepulauan yapen,pemerintah kabupaten kepulauan sula
809,yes,pemkab sula,pemerintah kabupaten kepulauan sula
810,no,pemkab kepulauan aru,pemerintah kabupaten kepulauan yapen
811,no,pemerintah kabupaten kepulauan aru,pemerintah kabupaten kepulauan yapen
812,yes,pemkab yapen,pemerintah kabupaten kepulauan yapen
813,yes,pemerintah kabupaten yapen,pemerintah kabupaten kepulauan yapen
814,no,pemerintah kabupaten kepulauan anambas,pemerintah kabupaten kepulauan yapen
815,no,pemerintah kabupaten kepulauan sula,pemerintah kabupaten kepulauan yapen
816,no,pemkab kepulauan sula,pemerintah kabupaten kepulauan yapen
817,yes,pemkab kepulauan yapen,pemerintah kabupaten kepulauan yapen
818,no,pemkab kepulauan anambas,pemerintah kabupaten kepulauan yapen
819,yes,pemkab kotawaringin barat,pemerintah kabupaten kotawaringin barat
820,no,pemerintah kabupaten kotawaringin timur,pemerintah kabupaten kotawaringin barat
821,no,pemkab kotawaringin timur,pemerintah kabupaten kotawaringin barat
822,no,pemkab kotawaringin barat,pemerintah kabupaten kotawaringin timur
823,no,pemerintah kabupaten kotawaringin barat,pemerintah kabupaten kotawaringin timur
824,yes,pemkab kotawaringin timur,pemerintah kabupaten kotawaringin timur
825,no,pt semen kupang,pemerintah kabupaten kupang
826,yes,pemkab kupang,pemerintah kabupaten kupang
827,no,pemkab kutai kartanegara,pemerintah kabupaten kutai barat
828,no,pemerintah kabupaten kutai kartanegara,pemerintah kabupaten kutai barat
829,yes,pemkab kutai barat,pemerintah kabupaten kutai barat
830,no,pemerintah kabupaten kutai timur,pemerintah kabupaten kutai barat
831,no,pemkab kutai timur,pemerintah kabupaten kutai barat
832,yes,pemkab kutai kartanegara,pemerintah kabupaten kutai kartanegara
833,no,pemerintah kabupaten kutai barat,pemerintah kabupaten kutai kartanegara
834,no,pemkab kutai barat,pemerintah kabupaten kutai kartanegara
835,no,pemkab kutai timur,pemerintah kabupaten kutai kartanegara
836,no,pemerintah kabupaten kutai timur,pemerintah kabupaten kutai kartanegara
837,no,pemerintah kabupaten kutai kartanegara,pemerintah kabupaten kutai timur
838,no,pemkab kutai kartanegara,pemerintah kabupaten kutai timur
839,no,pemerintah kabupaten kutai barat,pemerintah kabupaten kutai timur
840,no,pemkab kutai barat,pemerintah kabupaten kutai timur
841,yes,pemkab kutai timur,pemerintah kabupaten kutai timur
842,no,pemkab lampung,pemerintah kabupaten lamandau
843,no,pemerintah kabupaten lampung,pemerintah kabupaten lamandau
844,yes,pemkab lamandau,pemerintah kabupaten lamandau
845,no,pemerintah kabupaten lampung timur,pemerintah kabupaten lampung barat
846,yes,pemkab lampung barat,pemerintah kabupaten lampung barat
847,no,pemkab lampung timur,pemerintah kabupaten lampung barat
848,no,pemerintah kota bandar lampung,pemerintah kabupaten lampung barat
849,no,pemkot bandar lampung,pemerintah kabupaten lampung barat
850,no,pemerintah kabupaten lampung selatan,pemerintah kabupaten lampung barat
851,no,pemkab lampung selatan,pemerintah kabupaten lampung barat
852,no,pemprov lampung,pemerintah kabupaten lampung barat
853,no,pemerintah kabupaten lampung utara,pemerintah kabupaten lampung barat
854,no,pemkab lampung utara,pemerintah kabupaten lampung barat
855,no,pemkab lampung tengah,pemerintah kabupaten lampung barat
856,no,pemerintah provinsi lampung,pemerintah kabupaten lampung barat
857,no,pemerintah kabupaten lampung tengah,pemerintah kabupaten lampung barat
858,no,pemkab lampung tengah,pemerintah kabupaten lampung selatan
859,no,pemerintah kabupaten lampung tengah,pemerintah kabupaten lampung selatan
860,no,pemkab lampung utara,pemerintah kabupaten lampung selatan
861,no,pemerintah kabupaten lampung utara,pemerintah kabupaten lampung selatan
862,no,pemprov lampung,pemerintah kabupaten lampung selatan
863,yes,pemkab lampung selatan,pemerintah kabupaten lampung selatan
864,no,pemkot bandar lampung,pemerintah kabupaten lampung selatan
865,no,pemerintah kota bandar lampung,pemerintah kabupaten lampung selatan
866,no,pemerintah provinsi lampung,pemerintah kabupaten lampung selatan
867,no,pemkab lampung timur,pemerintah kabupaten lampung selatan
868,no,pemerintah kabupaten lampung timur,pemerintah kabupaten lampung selatan
869,no,pemkab lampung barat,pemerintah kabupaten lampung selatan
870,no,pemerintah kabupaten lampung barat,pemerintah kabupaten lampung selatan
871,no,pemerintah kabupaten lampung tengah,pemerintah kabupaten lampung utara
872,no,pemerintah kabupaten lampung timur,pemerintah kabupaten lampung utara
873,no,pemprov lampung,pemerintah kabupaten lampung utara
874,no,pemkab lampung timur,pemerintah kabupaten lampung utara
875,no,pemerintah provinsi lampung,pemerintah kabupaten lampung utara
876,no,pemkab lampung selatan,pemerintah kabupaten lampung utara
877,no,pemerintah kabupaten lampung selatan,pemerintah kabupaten lampung utara
878,no,pemkot bandar lampung,pemerintah kabupaten lampung utara
879,no,pemkab lampung tengah,pemerintah kabupaten lampung utara
880,no,pemerintah kota bandar lampung,pemerintah kabupaten lampung utara
