,reference
969,PT Biro Klasifikasi Indonesia Persero
970,PT Boma Bisma Indra Persero
971,PT Brantas Abipraya Persero
972,PT Dahana Persero
973,PT Dana Tabungan Dan Asuransi Pegawai Negeri   Taspen Persero
974,PT Danareksa Persero
975,PT Dirgantara Indonesia Persero
976,PT Djakarta Lloyd Persero
977,PT Garuda Indonesia Persero Tbk
978,PT Dok Dan Perkapalan Kodja Bahari Persero
979,PT ENERGI MANAGEMENT INDONESIA PERSERO
980,PT GARAM PERSERO
981,PT Geodipa Energi
982,PT Hotel Indonesia Natour Persero
983,PT Hutama Karya Persero
984,PT Indra Karya Persero
985,PT INDONESIA ASAHAN ALUMUNIUM PERSERO INALUM
986,PT Indah Karya Persero
987,PT Industri Kapal Indonesia Persero
988,PT Industri Nuklir Indonesia Persero
989,PT Industri Sandang Nusantara Persero
990,PT Industri Telekomunikasi Indonesia Persero
991,PT Istaka Karya Persero
992,PT JAKARTA INDUSTRIAL ESTATE PULOGADUNG
993,PT Jasa Marga Persero Tbk
994,PT ASURANSI JASA RAHARJA PERSERO
995,PT Kawasan Berikat Nusantara Persero
996,PT Kawasan Industri Wijayakusuma Persero
997,PT KIMIA FARMA PERSERO TBK
998,PT Kliring Berjangka Indonesia Persero
999,PT Krakatau Steel Persero Tbk
1000,PT Len Industri Persero
1001,PT PAL Indonesia Persero
1002,PT PANN Pembiayaan Maritim Persero
1003,PT Pegadaian Persero
1004,PT Pelabuhan Indonesia Persero
1005,PT Pelayaran Nasional Indonesia Persero Pelni
1006,PT Pembangunan Perumahan Persero
1007,PT Penerbitan Dan Percetakan Balai Pustaka Persero
1008,PT Pengembangan Pariwisata Indonesia Persero
1009,PT Pengusahaan Daerah Industri Pulau Batam Persero
1010,PT Penjaminan Infrastruktur Indonesia Persero
1011,PT PERIKANAN NUSANTARA PERSERO
1012,PT Perkebunan Nusantara III
1013,PT Permodalan Nasional Madani Persero
1014,PT Pertamina Persero
1015,PT Pertani Persero
1016,PT PERUSAHAAN GAS NEGARA PERSERO TBK
1017,PT Perusahaan Listrik Negara Persero PLN
1018,PT Perusahaan Pengelola Aset Persero
1019,PT PERUSAHAAN PERDAGANGAN INDONESIA PERSERO
1020,PT Pindad Persero
1021,PT Pos Indonesia Persero
1022,PT PUPUK INDONESIA HOLDING COMPANY
1023,PT RAJAWALI NUSANTARA INDONESIA PERSERO
1024,PT Reasuransi Indonesia Utama Persero
1025,PT SANG HYANG SERI PERSERO
1026,PT Sarana Multi Infrastruktur Persero PT SMI
1027,PT Sarinah Persero
1028,PT Semen Baturaja Persero
1029,PT Semen Indonesia Persero Tbk
1030,PT Sucofindo
1031,PT Surveyor Indonesia Persero
1032,PT Taman Wisata Candi Borobudur Prambanan Dan Ratu Boko Persero
1033,PT Varuna Tirta Prakasya Persero
1034,PT Virama Karya Persero
1035,PT Waskita Karya Persero Tbk
1036,PT Wijaya Karya Persero Tbk
1037,PT Yodya Karya Persero
1038,Perum Perikanan Indonesia
1039,PT NINDYA KARYA PERSERO
1040,PT Surabaya Industrial Estate Rungkut
1041,PT Pengembangan Armada Niaga Nasional Persero
1042,PT Survai Udara Penas Persero
1043,PT Iglas Persero
1044,PT Kertas Kraft Aceh Persero
1045,Lembaga Pembiayaan Ekspor Indonesia
1046,PT Sarana Multigriya Finansial Persero
1047,PT INDOFARMA PERSERO TBK
1048,PT Kereta Api Indonesia Persero KAI
1049,PT TELEKOMUNIKASI INDONESIA PERSERO TBK
1050,PT Primissima Persero
1051,PT Dok Dan Perkapalan Surabaya Persero
1052,PT Industri Kereta Api Persero INKA
1053,PT Semen Kupang Persero
1054,PT KAWASAN INDUSTRI MAKASAR PERSERO
1055,PT Kawasan Industri Medan Persero
1056,Pemerintah Kabupaten Badung
1057,Pemerintah Kabupaten Bangli
1058,Pemerintah Kabupaten Buleleng
1059,Pemerintah Kabupaten Gianyar
1060,Pemerintah Kabupaten Jembrana
1061,Pemerintah Kabupaten Karangasem
1062,Pemerintah Kabupaten Klungkung
1063,Pemerintah Kabupaten Tabanan
1064,Pemerintah Kota Denpasar
1065,Pemerintah Provinsi Bali
1066,Pemerintah Kabupaten Bangka
1067,Pemerintah Kabupaten Bangka Barat
1068,Pemerintah Kabupaten Bangka Selatan
1069,Pemerintah Kabupaten Bangka Tengah
1070,Pemerintah Kabupaten Belitung
1071,Pemerintah Kabupaten Belitung Timur
1072,Pemerintah Kota Pangkalpinang
1073,Pemerintah Kabupaten Lebak
1074,Pemerintah Kabupaten Pandeglang
1075,Pemerintah Kabupaten Serang
1076,Pemerintah Kabupaten Tangerang
1077,Pemerintah Kota Cilegon
1078,Pemerintah Kota Serang
1079,Pemerintah Kota Tangerang
1080,Pemerintah Kota Tangerang Selatan
1081,Pemerintah Provinsi Banten
1082,Pemerintah Kabupaten Bengkulu Selatan
1083,Pemerintah Kabupaten Bengkulu Tengah
1084,Pemerintah Kabupaten Bengkulu Utara
1085,Pemerintah Kabupaten Kaur
1086,Pemerintah Kabupaten Kepahiang
1087,Pemerintah Kabupaten Lebong
1088,Pemerintah Kabupaten Muko Muko
1089,Pemerintah Kabupaten Rejang Lebong
1090,Pemerintah Kabupaten Seluma
1091,Pemerintah Kota Bengkulu
1092,Pemerintah Provinsi Bengkulu
1093,Pemerintah Kabupaten Bantul
1094,Pemerintah Kabupaten Gunung Kidul
1095,Pemerintah Kabupaten Kulonprogo
1096,Pemerintah Kabupaten Sleman
1097,Pemerintah Kota Yogyakarta
1098,Pemerintah Provinsi DI Yogyakarta
1099,Kementerian Agama
1100,Kementerian Agraria dan Tata Ruang Badan Pertahanan Nasional BPN
1101,Kementerian Dalam Negeri
1102,Kementerian Desa Pembangunan Daerah Tertinggal dan Transmigrasi
1103,Kementerian Energi dan Sumber Daya Mineral ESDM
1104,Kementerian Hukum dan Hak Asasi Manusia
1105,Kementerian Lingkungan Hidup dan Kehutanan
1106,Kementerian Kelautan dan Perikanan
1107,Kementerian Kesehatan
1108,Kementerian Ketenagakerjaan
1109,Kementerian Keuangan
1110,Kementerian Komunikasi dan Informatika
1111,Kementerian Koordinator Bidang Kemaritiman dan Investasi
1112,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan
1113,Kementerian Koordinator Bidang Perekonomian
1114,Kementerian Koordinator Bidang Politik Hukum dan Keamanan
1115,Kementerian Koperasi dan Usaha Kecil dan Menengah
1116,Kementerian Luar Negeri
1117,Kementerian Badan Usaha Milik Negara
1118,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Kem PANRB
1119,Kementerian Pariwisata dan Ekonomi Kreatif
1120,Kementerian Pekerjaan Umum dan Perumahan Rakyat PUPR
1121,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak
1122,Kementerian Pemuda dan Olahraga
1123,Kementerian Pendidikan Kebudayaan Riset dan Teknologi
1124,Kementerian Perdagangan
1125,Kementerian Perencanaan Pembangunan Nasional PPN Badan Perencanaan Pembangunan Nasional Bappenas
1126,Kementerian Perhubungan
1127,Kementerian Perindustrian
1128,Kementerian Pertahanan
1129,Kementerian Pertanian
1130,Kementerian Sekretariat Negara
1131,Kementerian Sosial
1132,Badan Pemeriksa Keuangan BPK
1133,Dewan Perwakilan Daerah DPD
1134,Dewan Perwakilan Rakyat DPR
1135,Komisi Yudisial
1136,Mahkamah Agung MA
1137,Mahkamah Konstitusi MK
1138,Majelis Permusyawaratan Rakyat MPR
1139,Badan Informasi Geospasial BIG
1140,Badan Kepegawaian Negara BKN
1141,Badan Intelijen Negara BIN
1142,Badan Keamanan Laut Bakamla
1143,Badan Kependudukan Dan Keluarga Berencana Nasional BKKBN
1144,Badan Koordinasi Penanaman Modal BKPM
1145,Badan Meteorologi Klimatologi Dan Geofisika BMKG
1146,Badan Narkotika Nasional BNN
1147,Badan Nasional Penanggulangan Bencana BNPB
1148,Badan Nasional Penanggulangan Terorisme BNPT
1149,Badan Pelindungan Pekerja Migran Indonesia
1150,Badan Pengawas Obat Dan Makanan BPOM
1151,Badan Pengawas Pemilihan Umum Bawaslu
1152,Badan Pengawas Tenaga Nuklir Bapeten
1153,Badan Pengawasan Keuangan Dan Pembangunan BPKP
1154,Badan Pengkajian Dan Penerapan Teknologi BPPT
1155,Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam
1156,Badan Pusat Statistik BPS
1157,Badan Search And Rescue Nasional Basarnas
1158,Badan Siber dan Sandi Negara BSSN
1159,Badan Standardisasi Nasional BSN
1160,Badan Tenaga Nuklir Nasional BATAN
1161,Dewan Ketahanan Nasional Wantannas
1162,Kejaksaan Republik Indonesia
1163,Kepolisian Negara Republik Indonesia
1164,Komisi Nasional Hak Asasi Manusia Komnas HAM
1165,Komisi Pemberantasan Korupsi KPK
1166,Komisi Pemilihan Umum KPU
1167,Komisi Pengawas Persaingan Usaha KPPU
1168,Lembaga Administrasi Negara LAN
1169,Lembaga Ilmu Pengetehuan Indonesia LIPI
1170,Lembaga Kebijakan Pengadaan Barang Jasa Pemerintah LKPP
1171,Lembaga Ketahanan Nasional Lemhanas
1172,Lembaga Penerbangan Dan Antariksa Nasional Lapan
1173,Lembaga Penyiaran Publik TVRI
1174,Ombudsman Republik Indonesia ORI
1175,Perpustakaan Nasional Republik Indonesia Perpusnas
1176,Pusat Pelaporan Dan Analisis Transaksi Keuangan PPATK
1177,Sekretariat Kabinet
1178,Arsip Nasional Republik Indonesia ANRI
1179,Tentara Nasional Indonesia TNI
1180,Komisi Aparatur Sipil Negara KASN
1181,Badan Nasional Sertifikasi Profesi BNSP
1182,Badan Pengatur Hilir Minyak Dan Gas Bumi BPH Migas
1183,Dewan Pertimbangan Presiden Wantimpres
1184,Komisi Kejaksaan Republik Indonesia
1185,Komisi Penyiaran Indonesia KPI
1186,Lembaga Perlindungan Saksi Dan Korban LPSK
1187,Pemerintah Kabupaten Kepulauan Seribu
1188,Pemerintah Kota Jakarta Barat
1189,Pemerintah Kota Jakarta Pusat
1190,Pemerintah Kota Jakarta Selatan
1191,Pemerintah Kota Jakarta Timur
1192,Pemerintah Kota Jakarta Utara
1193,Pemerintah Provinsi DKI Jakarta
1194,Perum Lembaga Kantor Berita Nasional Antara LKBN Antara
1195,PT Asabri
1196,PT Bank Tabungan Negara Persero BTN
1197,PT Bio Farma
1198,PT Energy Management Indonesia
1199,PT Garam
1200,PT Indonesia Asahan Alumunium Inalum
1201,PT Jakarta Industrial Estate Pulogadung
1202,PT Jasa Raharja Persero
1203,PT Kimia Farma
1204,PT Pelabuhan Indonesia I Persero
1205,PT Pelabuhan Indonesia II Persero
1206,PT Pelabuhan Indonesia III Persero
1207,PT Pelabuhan Indonesia IV Persero
1208,PT Perikanan Nusantara
1209,PT Perusahaan Gas Negara Persero Tbk
1210,PT Perusahaan Perdagangan Indonesia
1211,PT Pupuk Indonesia Holding Company
1212,PT Rajawali Nusantara Indonesia
1213,PT Sang Hyang Seri
1214,Dewan Perwakilan Rakyat Daerah DPRD
1215,PT Nindya Karya
1216,Badan Pengelola Keuangan Haji BPKH
1217,Badan Penyelenggara Jaminan Sosial Kesehatan BPJS Kesehatan
1218,Badan Penyelenggara Jaminan Sosial Ketenagakerjaan BPJAMSOSTEK
1219,Lembaga Penjamin Simpanan LPS
1220,Otoritas Jasa Keuangan OJK
1221,Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak Dan Gas Bumi SKK Migas
1222,Badan Nasional Pengelola Perbatasan
1223,Badan Pengusahaan Kawasan Perdagangan Bebas  Pelabuhan Bebas Sabang
1224,Badan Pembinaan Ideologi Pancasila
1225,Pemerintah Kabupaten Boalemo
1226,Lembaga Penyiaran Publik Radio Republik Indonesia
1227,Dewan Jaminan Sosial Nasional
1228,Pemerintah Kabupaten Bone Bolango
1229,Pemerintah Kabupaten Gorontalo
1230,Pemerintah Kabupaten Gorontalo Utara
1231,Pemerintah Kabupaten Pohuwato
1232,Pemerintah Kota Gorontalo
1233,Pemerintah Provinsi Gorontalo
1234,Pemerintah Kabupaten Batanghari
1235,Pemerintah Kabupaten Bungo
1236,Pemerintah Kabupaten Kerinci
1237,Pemerintah Kabupaten Merangin
1238,Pemerintah Kabupaten Muaro Jambi
1239,Pemerintah Kabupaten Sarolangun
1240,Pemerintah Kabupaten Tanjung Jabung Barat
1241,Pemerintah Kabupaten Tanjung Jabung Timur
1242,Pemerintah Kabupaten Tebo
1243,Pemerintah Kota Jambi
1244,Pemerintah Kota Sungai Penuh
1245,Pemerintah Provinsi Jambi
1246,Pemerintah Kabupaten Bandung
1247,Pemerintah Kabupaten Bandung Barat
1248,Pemerintah Kabupaten Bekasi
1249,Pemerintah Kabupaten Bogor
1250,Pemerintah Kabupaten Ciamis
1251,Pemerintah Kabupaten Cianjur
1252,Pemerintah Kabupaten Cirebon
1253,Pemerintah Kabupaten Garut
1254,Pemerintah Kabupaten Indramayu
1255,Pemerintah Kabupaten Karawang
1256,Pemerintah Kabupaten Kuningan
1257,Pemerintah Kabupaten Majalengka
1258,Pemerintah Kabupaten Pangandaran
1259,Pemerintah Kabupaten Purwakarta
1260,Pemerintah Kabupaten Subang
1261,Pemerintah Kabupaten Sukabumi
1262,Pemerintah Kabupaten Sumedang
1263,Pemerintah Kabupaten Tasikmalaya
1264,Pemerintah Kota Bandung
1265,Pemerintah Kota Banjar
1266,Pemerintah Kota Bekasi
1267,Pemerintah Kota Bogor
1268,Pemerintah Kota Cimahi
1269,Pemerintah Kota Cirebon
1270,Pemerintah Kota Depok
1271,Pemerintah Kota Sukabumi
1272,Pemerintah Kota Tasikmalaya
1273,Pemerintah Provinsi Jawa Barat
1274,PT Indofarma
1275,PT Telkom Indonesia Persero Tbk
1276,Pemerintah Kabupaten Banjarnegara
1277,Pemerintah Kabupaten Banyumas
1278,Pemerintah Kabupaten Batang
1279,Pemerintah Kabupaten Blora
1280,Pemerintah Kabupaten Boyolali
1281,Pemerintah Kabupaten Brebes
1282,Pemerintah Kabupaten Cilacap
1283,Pemerintah Kabupaten Demak
1284,Pemerintah Kabupaten Grobogan
1285,Pemerintah Kabupaten Jepara
1286,Pemerintah Kabupaten Karanganyar
1287,Pemerintah Kabupaten Kebumen
1288,Pemerintah Kabupaten Kendal
1289,Pemerintah Kabupaten Klaten
1290,Pemerintah Kabupaten Kudus
1291,Pemerintah Kabupaten Magelang
1292,Pemerintah Kabupaten Pati
1293,Pemerintah Kabupaten Pekalongan
1294,Pemerintah Kabupaten Pemalang
1295,Pemerintah Kabupaten Purbalingga
1296,Pemerintah Kabupaten Purworejo
1297,Pemerintah Kabupaten Rembang
1298,Pemerintah Kabupaten Semarang
1299,Pemerintah Kabupaten Sragen
1300,Pemerintah Kabupaten Sukoharjo
1301,Pemerintah Kabupaten Tegal
1302,Pemerintah Kabupaten Temanggung
1303,Pemerintah Kabupaten Wonogiri
1304,Pemerintah Kabupaten Wonosobo
1305,Pemerintah Kota Magelang
1306,Pemerintah Kota Pekalongan
1307,Pemerintah Kota Salatiga
1308,Pemerintah Kota Semarang
1309,Pemerintah Kota Surakarta
1310,Pemerintah Kota Tegal
1311,Pemerintah Provinsi Jawa Tengah
1312,Pemerintah Kabupaten Bangkalan
1313,Pemerintah Kabupaten Banyuwangi
1314,Pemerintah Kabupaten Blitar
1315,Pemerintah Kabupaten Bojonegoro
1316,Pemerintah Kabupaten Bondowoso
1317,Pemerintah Kabupaten Gresik
1318,Pemerintah Kabupaten Jember
1319,Pemerintah Kabupaten Jombang
1320,Pemerintah Kabupaten Kediri
1321,Pemerintah Kabupaten Lamongan
1322,Pemerintah Kabupaten Lumajang
1323,Pemerintah Kabupaten Malang
1324,Pemerintah Kabupaten Madiun
1325,Pemerintah Kabupaten Magetan
1326,Pemerintah Kabupaten Mojokerto
1327,Pemerintah Kabupaten Nganjuk
1328,Pemerintah Kabupaten Ngawi
1329,Pemerintah Kabupaten Pacitan
1330,Pemerintah Kabupaten Pamekasan
1331,Pemerintah Kabupaten Pasuruan
1332,Pemerintah Kabupaten Ponorogo
1333,Pemerintah Kabupaten Probolinggo
1334,Pemerintah Kabupaten Sampang
1335,Pemerintah Kabupaten Sidoarjo
1336,Pemerintah Kabupaten Situbondo
1337,Pemerintah Kabupaten Sumenep
1338,Pemerintah Kabupaten Trenggalek
1339,Pemerintah Kabupaten Tuban
1340,Pemerintah Kabupaten Tulungagung
1341,Pemerintah Kota Batu
1342,Pemerintah Kota Blitar
1343,Pemerintah Kota Kediri
1344,Pemerintah Kota Madiun
1345,Pemerintah Kota Malang
1346,Pemerintah Kota Mojokerto
1347,Pemerintah Kota Pasuruan
1348,Pemerintah Kota Probolinggo
1349,Pemerintah Kota Surabaya
1350,Pemerintah Provinsi Jawa Timur
1351,Pemerintah Kabupaten Bengkayang
1352,Pemerintah Kabupaten Kapuas Hulu
1353,Pemerintah Kabupaten Kayong Utara
1354,Pemerintah Kabupaten Ketapang
1355,Pemerintah Kabupaten Kubu Raya
1356,Pemerintah Kabupaten Landak
1357,Pemerintah Kabupaten Melawi
1358,Pemerintah Kabupaten Mempawah
1359,Pemerintah Kabupaten Sambas
1360,Pemerintah Kabupaten Sanggau
1361,Pemerintah Kabupaten Sekadau
1362,Pemerintah Kabupaten Sintang
1363,Pemerintah Kota Pontianak
1364,Pemerintah Kota Singkawang
1365,Pemerintah Provinsi Kalimantan Barat
1366,Pemerintah Kabupaten Balangan
1367,Pemerintah Kabupaten Banjar
1368,Pemerintah Kabupaten Barito Kuala
1369,Pemerintah Kabupaten Hulu Sungai Selatan
1370,Pemerintah Kabupaten Hulu Sungai Tengah
1371,Pemerintah Kabupaten Hulu Sungai Utara
1372,Pemerintah Kabupaten Kotabaru
1373,Pemerintah Kabupaten Tabalong
1374,Pemerintah Kabupaten Tanah Bumbu
1375,Pemerintah Kabupaten Tanah Laut
1376,Pemerintah Kabupaten Tapin
1377,Pemerintah Kota Banjarbaru
1378,Pemerintah Kota Banjarmasin
1379,Pemerintah Provinsi Kalimantan Selatan
1380,Pemerintah Kabupaten Barito Selatan
1381,Pemerintah Kabupaten Barito Timur
1382,Pemerintah Kabupaten Barito Utara
1383,Pemerintah Kabupaten Gunung Mas
1384,Pemerintah Kabupaten Kapuas
1385,Pemerintah Kabupaten Katingan
1386,Pemerintah Kabupaten Kotawaringin Barat
1387,Pemerintah Kabupaten Kotawaringin Timur
1388,Pemerintah Kabupaten Lamandau
1389,Pemerintah Kabupaten Murung Raya
1390,Pemerintah Kabupaten Pulang Pisau
1391,Pemerintah Kabupaten Seruyan
1392,Pemerintah Kabupaten Sukamara
1393,Pemerintah Kota Palangka Raya
1394,Pemerintah Provinsi Kalimantan Tengah
1395,Pemerintah Kabupaten Berau
1396,Pemerintah Kabupaten Kutai Barat
1397,Pemerintah Kabupaten Kutai Kartanegara
1398,Pemerintah Kabupaten Kutai Timur
1399,Pemerintah Kabupaten Mahakam Ulu
1400,Pemerintah Kabupaten Paser
1401,Pemerintah Kabupaten Penajam Paser Utara
1402,Pemerintah Kota Balikpapan
1403,Pemerintah Kota Bontang
1404,Pemerintah Kota Samarinda
1405,Pemerintah Provinsi Kalimantan Timur
1406,Pemerintah Kabupaten Bulungan
1407,Pemerintah Kabupaten Malinau
1408,Pemerintah Kabupaten Nunukan
1409,Pemerintah Kabupaten Tana Tidung
1410,Pemerintah Kota Tarakan
1411,Pemerintah Provinsi Kalimantan Utara
1412,Pemerintah Provinsi Kepulauan Bangka Belitung
1413,Pemerintah Kabupaten Bintan
1414,Pemerintah Kabupaten Karimun
1415,Pemerintah Kabupaten Kepulauan Anambas
1416,Pemerintah Kabupaten Lingga
1417,Pemerintah Kabupaten Natuna
1418,Pemerintah Kota Batam
1419,Pemerintah Kota Tanjung Pinang
1420,Pemerintah Provinsi Kepulauan Riau
1421,Pemerintah Kabupaten Lampung Barat
1422,Pemerintah Kabupaten Lampung Selatan
1423,Pemerintah Kabupaten Lampung Tengah
1424,Pemerintah Kabupaten Lampung Timur
1425,Pemerintah Kabupaten Lampung Utara
1426,Pemerintah Kabupaten Mesuji
1427,Pemerintah Kabupaten Pesawaran
1428,Pemerintah Kabupaten Pesisir Barat
1429,Pemerintah Kabupaten Pringsewu
1430,Pemerintah Kabupaten Tanggamus
1431,Pemerintah Kabupaten Tulang Bawang
1432,Pemerintah Kabupaten Tulang Bawang Barat
1433,Pemerintah Kabupaten Way Kanan
1434,Pemerintah Kota Bandar Lampung
1435,Pemerintah Kota Metro
1436,Pemerintah Provinsi Lampung
1437,Pemerintah Kabupaten Buru
1438,Pemerintah Kabupaten Buru Selatan
1439,Pemerintah Kabupaten Kepulauan Aru
1440,Pemerintah Kabupaten Maluku Barat Daya
1441,Pemerintah Kabupaten Maluku Tengah
1442,Pemerintah Kabupaten Maluku Tenggara
1443,Pemerintah Kabupaten Maluku Tenggara Barat
1444,Pemerintah Kabupaten Seram Bagian Barat
1445,Pemerintah Kabupaten Seram Bagian Timur
1446,Pemerintah Kota Ambon
1447,Pemerintah Kota Tual
1448,Pemerintah Provinsi Maluku
1449,Pemerintah Kabupaten Halmahera Barat
1450,Pemerintah Kabupaten Halmahera Selatan
1451,Pemerintah Kabupaten Halmahera Tengah
1452,Pemerintah Kabupaten Halmahera Timur
1453,Pemerintah Kabupaten Halmahera Utara
1454,Pemerintah Kabupaten Kepulauan Sula
1455,Pemerintah Kabupaten Pulau Morotai
1456,Pemerintah Kabupaten Pulau Taliabu
1457,Pemerintah Kota Ternate
1458,Pemerintah Kota Tidore Kepulauan
1459,Pemerintah Provinsi Maluku Utara
1460,Pemerintah Kabupaten Aceh Barat
1461,Pemerintah Kabupaten Aceh Barat Daya
1462,Pemerintah Kabupaten Aceh Besar
1463,Pemerintah Kabupaten Aceh Jaya
1464,Pemerintah Kabupaten Aceh Selatan
1465,Pemerintah Kabupaten Aceh Singkil
1466,Pemerintah Kabupaten Aceh Tamiang
1467,Pemerintah Kabupaten Aceh Tengah
1468,Pemerintah Kabupaten Aceh Tenggara
1469,Pemerintah Kabupaten Aceh Timur
1470,Pemerintah Kabupaten Aceh Utara
1471,Pemerintah Kabupaten Bener Meriah
1472,Pemerintah Kabupaten Bireuen
1473,Pemerintah Kabupaten Gayo Lues
1474,Pemerintah Kabupaten Nagan Raya
1475,Pemerintah Kabupaten Pidie
1476,Pemerintah Kabupaten Pidie Jaya
1477,Pemerintah Kabupaten Simeulue
1478,Pemerintah Kota Banda Aceh
1479,Pemerintah Kota Langsa
1480,Pemerintah Kota Lhokseumawe
1481,Pemerintah Kota Sabang
1482,Pemerintah Kota Subulussalam
1483,Pemerintah Provinsi Nangroe Aceh Darussalam
1484,Pemerintah Kabupaten Bima
1485,Pemerintah Kabupaten Dompu
1486,Pemerintah Kabupaten Lombok Barat
1487,Pemerintah Kabupaten Lombok Tengah
1488,Pemerintah Kabupaten Lombok Timur
1489,Pemerintah Kabupaten Lombok Utara
1490,Pemerintah Kabupaten Sumbawa
1491,Pemerintah Kabupaten Sumbawa Barat
1492,Pemerintah Kota Bima
1493,Pemerintah Kota Mataram
1494,Pemerintah Provinsi Nusa Tenggara Barat
1495,Pemerintah Kabupaten Alor
1496,Pemerintah Kabupaten Belu
1497,Pemerintah Kabupaten Ende
1498,Pemerintah Kabupaten Flores Timur
1499,Pemerintah Kabupaten Kupang
1500,Pemerintah Kabupaten Lembata
1501,Pemerintah Kabupaten Malaka
1502,Pemerintah Kabupaten Manggarai
1503,Pemerintah Kabupaten Manggarai Barat
1504,Pemerintah Kabupaten Manggarai Timur
1505,Pemerintah Kabupaten Nagekeo
1506,Pemerintah Kabupaten Ngada
1507,Pemerintah Kabupaten Rote Ndao
1508,Pemerintah Kabupaten Sabu Raijua
1509,Pemerintah Kabupaten Sikka
1510,Pemerintah Kabupaten Sumba Barat
1511,Pemerintah Kabupaten Sumba Barat Daya
1512,Pemerintah Kabupaten Sumba Tengah
1513,Pemerintah Kabupaten Sumba Timur
1514,Pemerintah Kabupaten Timor Tengah Selatan
1515,Pemerintah Kabupaten Timor Tengah Utara
1516,Pemerintah Kota Kupang
1517,Pemerintah Provinsi Nusa Tenggara Timur
1518,PT Semen Kupang
1519,Pemerintah Kabupaten Asmat
1520,Pemerintah Kabupaten Biak Numfor
1521,Pemerintah Kabupaten Boven Digoel
1522,Pemerintah Kabupaten Deiyai
1523,Pemerintah Kabupaten Dogiyai
1524,Pemerintah Kabupaten Intan Jaya
1525,Pemerintah Kabupaten Jayapura
1526,Pemerintah Kabupaten Jayawijaya
1527,Pemerintah Kabupaten Keerom
1528,Pemerintah Kabupaten Kepulauan Yapen
1529,Pemerintah Kabupaten Lanny Jaya
1530,Pemerintah Kabupaten Mamberamo Raya
1531,Pemerintah Kabupaten Mamberamo Tengah
1532,Pemerintah Kabupaten Mappi
1533,Pemerintah Kabupaten Merauke
1534,Pemerintah Kabupaten Mimika
1535,Pemerintah Kabupaten Nabire
1536,Pemerintah Kabupaten Nduga
1537,Pemerintah Kabupaten Paniai
1538,Pemerintah Kabupaten Pegunungan Bintang
1539,Pemerintah Kabupaten Puncak
1540,Pemerintah Kabupaten Puncak Jaya
1541,Pemerintah Kabupaten Sarmi
1542,Pemerintah Kabupaten Supiori
1543,Pemerintah Kabupaten Tolikara
1544,Pemerintah Kabupaten Waropen
1545,Pemerintah Kabupaten Yahukimo
1546,Pemerintah Kabupaten Yalimo
1547,Pemerintah Kota Jayapura
1548,Pemerintah Provinsi Papua
1549,Pemerintah Kabupaten Fak Fak
1550,Pemerintah Kabupaten Kaimana
1551,Pemerintah Kabupaten Manokwari
1552,Pemerintah Kabupaten Manokwari Selatan
1553,Pemerintah Kabupaten Maybrat
1554,Pemerintah Kabupaten Pegunungan Arfak
1555,Pemerintah Kabupaten Raja Ampat
1556,Pemerintah Kabupaten Sorong
1557,Pemerintah Kabupaten Sorong Selatan
1558,Pemerintah Kabupaten Tambrauw
1559,Pemerintah Kabupaten Teluk Bintuni
1560,Pemerintah Kabupaten Teluk Wondama
1561,Pemerintah Kota Sorong
1562,Pemerintah Provinsi Papua Barat
1563,Pemerintah Kabupaten Bengkalis
1564,Pemerintah Kabupaten Indragiri Hilir
1565,Pemerintah Kabupaten Indragiri Hulu
1566,Pemerintah Kabupaten Kampar
1567,Pemerintah Kabupaten Kepulauan Meranti
1568,Pemerintah Kabupaten Kuantan Singingi
1569,Pemerintah Kabupaten Pelalawan
1570,Pemerintah Kabupaten Rokan Hilir
1571,Pemerintah Kabupaten Rokan Hulu
1572,Pemerintah Kabupaten Siak
1573,Pemerintah Kota Dumai
1574,Pemerintah Kota Pekanbaru
1575,Pemerintah Provinsi Riau
1576,Pemerintah Kabupaten Majene
1577,Pemerintah Kabupaten Mamasa
1578,Pemerintah Kabupaten Mamuju
1579,Pemerintah Kabupaten Mamuju Tengah
1580,Pemerintah Kabupaten Pasangkayu
1581,Pemerintah Kabupaten Polewali Mandar
1582,Pemerintah Provinsi Sulawesi Barat
1583,Pemerintah Kabupaten Bantaeng
1584,Pemerintah Kabupaten Barru
1585,Pemerintah Kabupaten Bone
1586,Pemerintah Kabupaten Bulukumba
1587,Pemerintah Kabupaten Enrekang
1588,Pemerintah Kabupaten Gowa
1589,Pemerintah Kabupaten Jeneponto
1590,Pemerintah Kabupaten Kepulauan Selayar
1591,Pemerintah Kabupaten Luwu
1592,Pemerintah Kabupaten Luwu Timur
1593,Pemerintah Kabupaten Luwu Utara
1594,Pemerintah Kabupaten Maros
1595,Pemerintah Kabupaten Pangkajene Kepulauan
1596,Pemerintah Kabupaten Pinrang
1597,Pemerintah Kabupaten Sidenreng Rappang
1598,Pemerintah Kabupaten Sinjai
1599,Pemerintah Kabupaten Soppeng
1600,Pemerintah Kabupaten Takalar
1601,Pemerintah Kabupaten Tana Toraja
1602,Pemerintah Kabupaten Toraja Utara
