instansi;sinonim;pred;prob
pemerintah provinsi sulawesi selatan;Dinas Pemberdayaan Masyarakat dan Desa. Kependudukan dan pencatatan sipil provinsi kepulauan Riau;0;0.9985559582710266
pemerintah kabupaten bolaang mongondow timur;Badan Pendapatan Daerah Provinsi Kalimantan Timur;0;0.9991230368614196
pemerintah kabupaten merangin;Pemerintah Kabupaten Merangin;1;0.9985989928245544
pemerintah kota tanjung balai;Balai Penyuluhan Pertanian Kecamatan Pakuniran;0;0.9968896508216858
pemkot yogyakarta;PT. Madu Baru Pabrik Gula - Pabrik Spiritus Madukismo Yogyakarta;1;0.7739130854606628
pt bank rakyat indonesia;PT Bank Rakyat Indonesia;1;0.9985395669937134
pt perusahaan listrik negara persero pln;PT PLN Batubara;1;0.9983660578727722
adhi karya;PT Adhi Karya;1;0.9780178666114808
pt hotel indonesia natour persero;El Royal Hotel;0;0.9890176057815552
pt telkom indonesia tbk;PT Sawit Sumbermas Sarana Tbk;0;0.9968299269676208
pt pln;PT Aneka Jasa Grhadika;0;0.9948484897613524
bni life;BNI LIFE;1;0.997821807861328
pemerintah kabupaten bandung;Pondok Selera Sunda Setiabudi, Bandung;0;0.9959122538566588
komisi pemilihan umum kabupaten fakfak;KPU Kabupaten Fakfak;1;0.995139479637146
pemkab temanggung;PD. BKK Temanggung;1;0.9976186156272888
kementerian pembangunan daerah tertinggal;Direktorat Sungai, Danau dan Penyeberangan, Ditjen Hub Darat, Kementerian Perhubungan;0;0.9883429408073424
pemkot palangka raya;PT. Nusantara Jaya Raya Mujur;1;0.8425328731536865
pemkab nias selatan;Bupati Halmahera Selatan;1;0.998484432697296
badan pembinaan ideologi pancasila;Badan Pembinaan Ideologi Pancasila;1;0.997771680355072
kementerian perencanaan pembangunan nasional ppn badan perencanaan pembangunan nasional bappenas;Kementerian Pariwisata Dan Ekonomi Kreatif/Badan Pariwisata Dan Ekonomi Kreatif;1;0.854320228099823
bank rakyat indonesia;Bank Rakyat Indonesia;1;0.9986886382102966
pemerintah kabupaten manggarai timur;Notaris/PPAT Kabupaten Hulu Sungai Tengai;0;0.9991902709007264
pemerintah kota jakarta timur;KPP Pratama Jakarta Kebayoran Baru Dua;0;0.984185516834259
pemerintah kabupaten bombana;Pemerintah Kabupaten Bombana;1;0.9984046816825868
pemerintah kabupaten pulau taliabu;Kecamatan Pulau Pinang;0;0.9986628293991088
kemen bumn;RUMAH BUMN WONOGIRI;1;0.8790969848632812
pemkab lamandau;Pemerintah Kabupaten Lamandau;1;0.9985795021057128
pt bank bri persero cabang ujung batu;Bank Bukopin, BRI, dan BSI;1;0.9867499470710754
bni divisi pengelolaan jaringan;BNI;1;0.9961477518081664
kemen bumn;BUMN;1;0.9084290266036988
badan pengatur hilir minyak dan gas bumi bph migas;Bumi Sindang Panon;0;0.996121108531952
bank mandiri pematang siantar kcp sutomo;Bank Mandiri Pematang Siantar KCP Sutomo;1;0.9986525177955629
pemkot jakarta timur;Koordinator BAZIS/BAZNAS Jakarta Timur;1;0.9945755004882812
pemerintah kabupaten pidie jaya;PT. Sinar Berlian Jaya Utama (Andoko Abdi);0;0.9974877834320068
pt dana tabungan dan asuransi pegawai negeri   taspen persero;PT Dana Tabungan Dan Asuransi Pegawai Negeri / Taspen (Persero);1;0.9980643391609192
pt sarana multigriya finansial;PT. Swadharma Sarana Informatika;0;0.9959021210670472
pt penjaminan infrastruktur indonesia persero;PT ITDC;1;0.999092698097229
pemerintah kabupaten sumba tengah;Pemerintah Kabupaten Sumba Tengah, NTT;1;0.9735857844352722
pt jiwasraya;PT Indosat;0;0.993916928768158
kepolisian negara republik indonesia resor kota pontianak;PT. Finnet Indonesia;1;0.97028648853302
pemerintah kota banjarbaru;Pemerintah Kota Banjarbaru;1;0.9993898868560792
pemerintah karanganyar;Pemerintah Kabupaten Wonogiri;1;0.998484432697296
pemkot bandung;Dukcapil Kota Bandung;1;0.9944499731063844
kementerian dalam negeri;Kementerian Kelautan Dan Perikanan;0;0.9986063838005066
pt kimia farma persero tbk;PT KIMIA FARMA (PERSERO), TBK;1;0.9982001781463624
pelindo iii;Bapenda UPPD Kota Semarang III;1;0.9691832661628724
kementerian koperasi dan ukm;Koperasi;0;0.9930711388587952
dewan perwakilan rakyat daerah;Dewan Perwakilan Rakyat Daerah;1;0.9952059388160706
bank tabungan negara;PT Bank Tabungan Negara (Persero), Tbk;1;0.998342514038086
pt smf;PT Indonesia Comnets Plus;1;0.9806110858917236
satuan kerja khusus pelaksana kegiatan usaha hulu minyak dan gas bumi skk migas;PT. Erze Bumi Harmoni;0;0.947508692741394
kejaksaan negeri kota kediri;Kepala Seksi Intelijen kejaksaan Negeri Kota Kediri;1;0.9949969053268432
pemkab sumedang;BJB SUMEDANG;1;0.9977976083755492
pemkab tabalong;Pemda Kabupaten Tabalong;1;0.9987232089042664
kementerian pendidikan kebudayaan riset dan teknologi;Direktorat Jenderal Pendidikan Tinggi, Riset dan Teknologi;0;0.992612600326538
kepolisian daerah provinsi di yogyakarta;Kepolisian Daerah Provinsi DI Yogyakarta;1;0.9979193806648254
perum bulog kanwil kaltim  kaltara;Perum BULOG Kanwil Kaltim & Kaltara;1;0.9978011250495912
pt reasuransi indonesia utama;PT. Elo Karsa Utama;1;0.9128592014312744
pt btn;BTN;1;0.9976728558540344
pemerintah sragen;Pemerintah Kabupaten Sragen;1;0.9989573955535888
pt perkebunan nusantara iii persero;PT Pindad (Persero);1;0.998197853565216
pt kiw;PT Setia Thenoch;1;0.8629249930381775
pemkot palembang;BDK Palembang;1;0.9980846643447876
badan pelindungan pekerja migran indonesia;Badan Pelindungan Pekerja Migran Indonesia;1;0.998527765274048
pemerintah kabupaten lingga;Bumdes Delta Mulia Kabupaten Pamekasan;0;0.9984015822410583
pemerintah provinsi banten;Pemerintah Provinsi Banten;1;0.9989153146743774
pemerintah kabupaten biak numfor;Kepala Desa Karangkamulyan Kecamatan Cijeungjing Kabupaten Ciamis;0;0.9989745616912842
kemenko polhukam;Kemenko Marves;1;0.9889606833457948
pemerintah kabupaten ogan komering ilir;Pemerintah Kabupaten Ogan Komering Ilir;1;0.9991567134857178
pemerintah kabupaten bangli;RS. Bangli Midika Canti;0;0.9930451512336732
pemkot sukabumi;PT Semen Jawa dan PT Tambang Semen Sukabumi;1;0.9704368114471436
kementerian luar negeri;SD Negeri 2 Kedung menjangan;0;0.9804968237876892
arsip nasional ri;Arsip Nasional Republik Indonesia;1;0.9964159727096558
pemerintah kabupaten seram bagian barat;Subbagian Tata Laksana Bagian OKI DJKN;0;0.9700260758399964
pt bank tabungan negara persero tbk btn;BANK BJB Serang;1;0.9900224804878236
pt pegadaian sentra layanan ultra mikro loa;Layanan Rental Mobil;0;0.8551555275917053
nasabah bank mandiri pemilik toko parfum;Owner Toko Cahaya Baru;0;0.8243311643600464
kementerian pendidikan kebudayaan riset dan teknologi;Dinas Pendidikan (Sekolah SMP/SD);0;0.9952241778373718
pemerintah jombang;Pemerintah Kabupaten Jombang;1;0.9988811612129213
pt dkb;PT Maybank Indonesia Tbk;1;0.8026398420333862
pt bgr;PT Daikin;1;0.7268027663230896
dpd;DPD HIMPERRA Kalimantan Selatan;1;0.7176820039749146
pemerintah kabupaten taliabu;SMA Pulokulon Kabupaten Grobogan;0;0.9991950392723083
perwakilan lembaga ilmu pengetahuan indonesia;Mantan Direktur Lembaga Pengembangan Perbankan Indonesia (LPPI);0;0.992318034172058
pt smf;Komisaris PT Phapros;1;0.9741445183753968
pt dkb;PT Bungasari Flour Mills Indonesia;1;0.7938921451568604
kemenkeu;DJKN Kemenkeu;1;0.9945569038391112
pemerintah kabupaten maros;Pemerintah Kabupaten Maros;1;0.999077081680298
dewan perwakilan rakyat daerah dprd;BANK PEMBANGUNAN DAERAH (BPD LAMPUNG);0;0.9983903169631958
pemkab karawang;Pemerintah Kabupaten Karawang;1;0.9989086389541626
pemerintah kabupaten tegal;SMK NU 1 Islamiyah Kramat Tegal;0;0.9972355961799622
pt pos indonesia kc cirebon;PT POS;1;0.7587243318557739
pt semen kupang;Nestle dan PT Beton;0;0.9951788187026978
pt bgr;PT Transportasi Gas Indonesia (Transgasindo);1;0.7242430448532104
bnn kota bengkulu;BNN Kota Bengkulu;1;0.9987547397613524
pembiayaan ekspor indonesia;PT. Twink Indonesia;1;0.9951329827308656
kementerian lingkungan hidup;Inspektorat Jenderal Kementerian Pertanian;0;0.9982900023460388
pemkab lamongan;LPSE Kabupaten Lamongan;1;0.932575523853302
pemerintah kabupaten grobogan;Pemerintah Kabupaten Grobogan;1;0.9992258548736572
pt bgr;PT Syabangun Bumitirta;1;0.7942014336585999
pemerintah kota medan;Dinas PPPA Medan;0;0.9967541098594666
kementerian kelautan;Kementerian Sosial;0;0.9985164999961852
pemprov jawa timur;Badan Amil Zakat Nasonal Provinsi Jawa Timur;1;0.9012688994407654
pemerintah kota samarinda;PT. Pelayaran Bunga Nusa Perdana Samarinda;0;0.9938790798187256
kementerian desa;Kementerian Kesehatan;0;0.9984747767448424
pt bgr;PT Aster Jaya Perkasa;1;0.5612973570823669
pemerintah kabupaten aceh barat daya;Sekolah Kecamatan Kebun Tebu Lampung Barat;0;0.9988988637924194
pt bank tabungan negara persero btn;bank BSI;1;0.9961695075035096
pemkot malang;Yayasan Islam Thursina Malang;1;0.8339072465896606
kementerian luar negeri;SMA NEGERI JUMAPOLO;0;0.9937216639518738
pt krakatau steel;The Indonesian Iron & Steel Industry Association (IISIA);0;0.890484094619751
pemerintah kabupaten mesuji;Unit Penyelenggara Pelabuhan Kelas III Mesuji;0;0.9965018033981324
pemkot cimahi;Kodim 0609 Cimahi;1;0.9935224652290344
pemerintah kabupaten bandung barat;Dinas Perindustrian dan Perdagangan Provinsi Sumatera Barat;0;0.9988428354263306
pemerintah kota gorontalo;Badan Penyelesaian Sengketa Konsumen Gorontalo;0;0.9985740184783936
pt industri telekomunikasi indonesia persero;Industri makanan;0;0.9959455132484436
perum lembaga penyelenggara pelayanan navigasi penerbangan indonesia airnav;Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia (Airnav);1;0.9986878037452698
pt bank mandiri cabang samarinda;Bank Mandiri Cabang Maros;1;0.9979094862937928
pt kimia farma persero tbk;Apotik Kimia Farma UB Jember;1;0.5483790040016174
jasa marga;VENDOR PENYEDIA JASA BILLBOARD;0;0.985632300376892
pemerintah kabupaten aceh jaya;cv indah jaya;0;0.998544216156006
pemerintah ngawi;RSAT Kab Ngawi;1;0.9966046810150146
pt twc;PT Medika Maesindo Global;1;0.7559659481048584
kementerian agama;Kementerian Keuangan;0;0.998085618019104
kacab bri samarinda 1;SMPN 1 Mandiraja;0;0.8425162434577942
badan pengatur hilir minyak dan gas bumi bph migas;BPMA (Badan Pengelola Migas Aceh);1;0.5888615846633911
pt pelabuhan indonesia iii persero;OY! Indonesia;1;0.9915593266487122
pemerintah kabupaten mamuju tengah;Pengelola Global Fund TV Dinas Kesehatan Provinsi Jawa Tengah;0;0.9977085590362548
bp2mi jawa barat;Bapenda Wilayah Kabupaten Bandung Barat;1;0.9473667740821838
pt angkasa pura i persero;PT. Angkasa Pura I;1;0.997340977191925
kementerian pemuda dan olahraga;Direktorat Barang Kebutuhan Pokok dan Barang Penting;0;0.9920589923858644
pt asuransi pegawai negeri;Founder Astronacci - Pegawai Swasta;0;0.9719403386116028
pt perusahaan listrik negara;Mitra  Perusahaan;0;0.994844913482666
pt bahana pembinaan usaha indonesia persero;PT MSINFOKOM;1;0.9902384281158448
pemprov kalimantan tengah;Lembaga Layanan Pendidikan Tinggi Wilayah VI Jawa Tengah;1;0.9007548093795776
pt biro klasifikasi indonesia persero cabang cirebon;BSI Cabang Parepare;1;0.9959220886230468
kementerian dalam negeri;SMP SATU ATAP NEGERI TALUN;0;0.9917289614677428
pt bank tabungan negara;PT Bank Tabungan Negara;1;0.9985126852989196
pemerintah kabupaten sigi;Tim Kabupaten Kota Kreatif Pacitan dan UMKM;0;0.9991201758384703
pemkot banjarmasin;PT. Asuransi Central Asia Cabang Banjarmasin;1;0.9915359020233154
indonesia tourism development coporation itdc;PT Roatex Indonesia Toll System;1;0.9457642436027528
pemerintah kabupaten malang;Politeknik Pembangunan Pertanian Malang;0;0.998612642288208
pemerintah kabupaten sumba barat;Kantor Pelayanan Pajak Pratama Medan Barat;0;0.9972795844078064
pt boma bisma indra persero cabang jakarta;Direktur Jakarta Convention Center;1;0.6643712520599365
kementerian koordinator bidang kemaritiman dan investasi;KEMENTERIAN INVESTASI/BKPM;1;0.9959522485733032
pemerintah kabupaten puncak jaya;PT. ORGANIC HANS JAYA;0;0.9968003034591676
pemerintah kabupaten siak;Pemerintah Kabupaten Siak;1;0.9983123540878296
pemkab pidie jaya;PT BUNAKEN JAYA;0;0.9987610578536988
pos indonesia;PT. Pos Indonesia;1;0.9983683228492736
pemkot salatiga;Kantor ATR / BPN Kota Salatiga;1;0.9915783405303956
perpustakaan nasional ri;Dinas Perpustakaan;0;0.9929044842720032
pemerintah kabupaten buton selatan;Polres Kab.Tapanuli Selatan;0;0.99925297498703
pemprov kalimantan barat;Kapolda Kalimantan Barat;1;0.9962080717086792
pemerintah kabupaten kubu raya;PT. Graha Karya Raya Bersama;0;0.9960285425186156
pemerintah kabupaten minahasa tenggara;Kantor SKK Migas Jawa,  Bali, Madura, dan Nusa Tenggara;0;0.9924618601799012
pt indonesia ferry;PT Mayasari Bakti;0;0.9954604506492616
pemerintah kabupaten kapuas;UPTD PASAR LEMATANG KABUPATEN LAHAT;0;0.9986920952796936
pemprov jawa timur;Wakil Gubernur Jawa Timur;1;0.9565359354019164
pt kiw;PT Arthatel;1;0.9392681121826172
pemerintah demak;Pemerintah Kabupaten Jepara;1;0.998734176158905
pt jiwasraya;PT Sentral Utama Teknikal Mandiri;0;0.9957329630851746
pemerintah kota bau bau;Pemerintah Kota;1;0.9979068040847778
pt kiw;PT Kebon Agung;1;0.8664697408676147
pemkab tanggamus;Bappeda Kabupaten Tanggamus;1;0.9954509139060974
kementerian badan pertanahan nasional;Badan Diklat Kejaksaan;0;0.9944604635238647
pemerintah kabupaten aceh jaya;PT Tata Griya Jaya;0;0.9975082874298096
lembaga kantor berita nasional antara biro jawa barat;Kantor Notaris Hengky Budi;0;0.9721278548240662
pemerintah kabupaten lombok utara;Universitas Hamzanwadi Lombok (NTB);0;0.9979318380355836
pemkab bojonegoro;Pemerintah Kabupaten Bojonegoro;1;0.9987149238586426
badan meteorologi klimatologi dan geofisika bmkg;KSP Kospinjasa dan KSP Pangestu;1;0.9580748081207277
pt taspen persero;PT Taspen;1;0.998715877532959
pemkab kampar;MAN 2 Kampar;1;0.9807511568069458
pemerintah kota bandar lampung;Unit Penyelenggara Bandar Udara Ilaga;0;0.9973711967468262
pemkab mahakam ulu;BKD KABUPATEN MAHAKAM ULU;1;0.9986617565155028
pemerintah kota yogyakarta;Pemerintah Kota Yogyakarta;1;0.9988999366760254
pt pupuk indonesia holding company;PT Fortuna Anekamulti Gemilang (Authorized Distributor Schaefler);0;0.9950425624847412
badan pemeriksa keuangan bpk;BPK;1;0.9984025359153748
pemerintah kabupaten muko muko;Pemerintah Bangladesh;1;0.9234323501586914
pt bank bri persero cabang ujung batu;Bank BJB, Bank Bukopin, Bank BTPN, Bank BSI;1;0.9063025116920472
pt bank mandiri;PT. GLOBAL MANDIRI EKAPRATAMA;0;0.9960665106773376
kementerian koperasi dan ukm;Koperasi Wahana Kalpika;0;0.9975157976150512
pemkot singkawang;dinas pendidikan dan kebudayaan kota singkawang;1;0.9630045294761658
pt taman wisata candi borobudur prambanan dan ratu boko persero;Tamu Undangan Pernikahan Zara Salsabila Zainal dan Iptu Indra Darmawan S.T.K, S.I.K;1;0.9469404220581056
pt twc;PT Keong Nusantara Abadi;1;0.9850512742996216
pemkab malinau;DPRD Kabupaten Malinau;1;0.8714046478271484
kementerian pendayagunaan aparatur negara dan reformasi birokrasi kem panrb;SP SCBI dan Awan Elektrik;1;0.9896398782730104
komisi penyiaran indonesia kpi;Komisi;1;0.7616497874259949
pt dkb;PT Kayreach System;1;0.9339932203292848
pemerintah bekasi;Pemerintah Kota Bekasi;1;0.9989176988601683
angkasa ii;Pejabat Lelang Kelas II;0;0.9745739102363586
lembaga pembiayaan ekspor indonesia;Lembaga Pembiayaan Ekspor Indonesia;1;0.998790442943573
bri masamba;BRI Masamba;1;0.997417688369751
pemkab muaro jambi;Pemerintah Kabupaten Muaro Jambi;1;0.9991313815116882
pemerintah kabupaten humbang hasundutan;Pemerintah Desa Bolobungkang;0;0.9992859959602356
pt bank rakyat indonesia persero tbk bri;PT. Bank BRI;1;0.9989194869995116
komisi pemberantasan korupsi;Komisi Pemberantasan Korupsi;1;0.9975862503051758
bank bri unit prambanan;Unit UPPD Samsat 2 Kayutangi;0;0.9803680181503296
kantor pos mamuju;KANTOR POS MAMUJU;1;0.9971599578857422
pt telkom pcc;PT Telkom;1;0.9923050999641418
indofarma global medika;Klinik Parakita Medika;0;0.952246069908142
pt bahana pembinaan usaha indonesia persero;CV Inti Citra Usaha;0;0.9882573485374452
pt kiw;PT Dagu Komunika;1;0.8267500400543213
komisi pemilihan umum kabupaten fakfak;Umum;0;0.9971042275428772
bank rakyat indonesia cabang sintang;Bank BPD Jateng;1;0.9945564270019532
pt barata indonesia;PT Akar Bumi;0;0.9980125427246094
pemkot surabaya;Pelaku usaha di Surabaya;1;0.9881227612495422
pemprov lampung;STAH LAMPUNG;1;0.9459165334701538
lembaga kebijakan pengadaan barang jasa pemerintah;Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah;1;0.9959089756011964
pemkab sumedang;BANK SUMEDANG;1;0.7565738558769226
pemkab bengkalis;Setda Kabupaten Bengkalis;1;0.9873141646385192
bri cabang luwuk;Bank Syariah Indonesia Cabang Luwuk;1;0.9924827218055724
peruri;peruri;1;0.996893048286438
pt bgr;PT MNC Guna Usaha Indonesia;1;0.8845601081848145
badan siber dan sandi negara bssn;BSSN;1;0.9977760910987854
pt pln;PT PLN;1;0.9983970522880554
kementerian luar negeri;Sekolah Dasar Negeri 33 Talang Ubi;0;0.9924311637878418
pemkab bima;UPTD Kab Bima;1;0.9956388473510742
pt dana tabungan;PT Binayasa Putra Batara;0;0.9977096319198608
pt penerbitan dan percetakan balai pustaka persero;PT Monex Investindo Futures;1;0.9814227819442748
pemerintah provinsi di yogyakarta;OBJEK PEMERIKSAAN (Desa di Kecamatan Tasikmadu);0;0.9947931170463562
pt indah karya persero;PT. RIZKY BUMI PERSADA INDAH;0;0.9833425283432008
taman wisata candi borobudur prambanan dan ratu boko;PT Taman Wisata Candi Borobudur, Prambanan, Dan Ratu Boko (Persero);1;0.9977648258209229
pt bank rakyat indonesia persero tbk bri;Bank BRI;1;0.9979808926582336
inspektur utama badan pengawas pemilihan umum;PT. Cahaya Samtraco Utama;0;0.9746426343917848
kementerian desa;Kepala Desa Dondo Soboli;0;0.997261643409729
pemerintah kota banjarmasin;PT. Pelayaran Bina Benua Samudera Banjarmasin;0;0.9887465834617616
bank rakyat indonesia;PT Bank Rakyat Indonesia (Persero), Tbk;1;0.9976881742477416
badan informasi geospasial;Badan Pengelola Pendapatan Daerah, UPPD Kab Purworejo;0;0.9956711530685424
pemerintah kota kotamobagu;Pemerintah Kota Kotamobagu;1;0.9988682270050048
pemkab lebak;Kejaksaan Negeri Lebak;1;0.814182698726654
pemkab tanggamus;Pemerintah Kabupaten Tanggamus;1;0.9987331032752992
pt dkb;PT Blue Bird Tbk;1;0.9917120933532716
pt smf;PT USU HYDRA POWER;1;0.9160990118980408
pemerintah kabupaten muara enim;Dewan Kerajinan Nasional Daerah Kabupaten Kapuas Hulu;0;0.9991156458854676
pemerintah kabupaten tanjung jabung timur;Badan Usaha Jalan Tol PT Cibitung Tanjung Priok Port Tollways;0;0.9913353323936462
dok dan perkapalan kodja bahari;BPRS Harta Insan Karimah Bahari;0;0.9687848091125488
pt asuransi jasa indonesia;PT Asuransi Jasa Indonesia (Persero);1;0.998335301876068
pemerintah kabupaten puncak jaya;PT. Elbana Abadi Jaya;0;0.9961206316947936
bio farma;BIO FARMA;1;0.9972374439239502
pt bgr;Direktur Utama PT Indosat Oorodeo Hutchison;1;0.8400365114212036
reasuransi indonesia utama;PT. Persona Prima Utama (PPU);1;0.9917776584625244
pemkab seram barat;Dispar Halmahera Barat;1;0.998204231262207
pt boma bisma indra persero cabang jakarta;Jakarta International Container Terminal (JICT);1;0.92313551902771
pt pertamina persero;PT Pertamina;1;0.998651087284088
bni life insurance;Maximus Insurance;1;0.921393096446991
pt pegadaian persero;Pegadaian;1;0.9968608617782592
bri cabang temanggung;BRI Cabang Temanggung;1;0.99874746799469
cfo pt pertamina;Universita Pertamina;1;0.9960057139396667
kementerian sumber daya mineral;CV. Sumber Nelayan;0;0.9938437938690186
pt berdikari persero;PT Surya bersama propertindo;0;0.9943028688430786
kemendikbudristek;Kemendikbudristek;1;0.997627317905426
kacab bri samarinda 1;Bank Rakyat Indonesia Samarinda 1;1;0.9281437993049622
pemerintah kabupaten pemalang;Pemerintah Kabupaten Pemalang;1;0.9987766146659852
pt bgr;PT Nusantara Infrastruktur;1;0.8148428797721863
pemerintah kabupaten aceh besar;Duta Besar Qatar;0;0.9975726008415222
pemprov sumatera selatan;Kanwil kemenag prov.sumatera selatan;1;0.9494722485542296
pemerintah kabupaten timor tengah selatan;Dinas Kesehatan Kabupaten Gresik;0;0.999440610408783
pemkot palembang;BCA Cabang Palembang;1;0.995042085647583
lembaga administrasi negara;Lembaga Administrasi Negara;1;0.99825257062912
pemerintah kabupaten minahasa tenggara;SKK Migas Jawa,  Bali, Madura, dan Nusa Tenggara (Jabanusa);0;0.9945834279060364
inspektorat jenderal tni;waki konsultan jenderal Cina;0;0.9600250720977784
pt bgr;PT NAKU FREIGHT INDONESIA;1;0.9787433743476868
pt perusahaan gas negara persero tbk;PT Perusahaan Gas Negara (Persero), Tbk;1;0.9981405735015868
kantor pos mamuju;Kantor Pos Mamuju;1;0.9974340796470642
pupuk indonesia holding company;Chairman of Tosyali Holding;0;0.98605877161026
bgr indonesia;PT. Microsoft Indonesia;1;0.9372864961624146
pemerintah tuban;Pemerintah Kabupaten Lamongan;1;0.9988707900047302
pt dkb;PT Semen Gresik (Persero), Tbk;1;0.9880369901657104
pemerintah provinsi jawa tengah;Kanwil Kemenag Jawa Tengah;1;0.9946035742759703
pt kiw;PT SUSI AIR;1;0.9088972210884094
anggota dewan perwakilan daerah;Dewan Perwakilan Rakyat;0;0.9982081651687622
satuan kerja khusus pelaksana kegiatan usaha hulu minyak dan gas bumi skk migas;Pelaksana Kontraktor CV CANAYYA CONSTRUCTION;0;0.9538156986236572
pemerintah kota probolinggo;BKD Kabupaten Probolinggo & BKPSDM Kota Kediri;1;0.9956089854240416
pt bio farma bandung;PT Bio Farma (Persero);1;0.9986209869384766
pemkot probolinggo;KAPOLRES PROBOLINGGO KOTA;1;0.8794187307357788
pemerintah kabupaten gunung mas;PT Naga Mas Mulia;0;0.9978880286216736
pt pnm;PNM Investment Management;1;0.9935954213142396
bni cabang jakarta kramat;KPKNL Jakarta V;1;0.9493959546089172
pt yodya karya persero;PT. Karya Mitra Budi Sentosa;0;0.9968474507331848
pemerintah kabupaten empat lawang;Pemerintah Kabupaten Empat Lawang;1;0.9991600513458252
bpjs kesehatan;Dekan Fakultas Ulmu Kesehatan Universitas Aisyiyah Yogyakarta;1;0.7477817535400391
pln uip nusra;PLN UIW NTB dan PLN UIP NUSRA;1;0.9987114667892456
pt smf;Komisaris  PT Blue Bird;1;0.9853507280349731
indonesia financial group;Group Musik;0;0.969502866268158
pt pln;PT Timah Industri;0;0.995047688484192
pt kim;KIM Pamekasan Hebat;1;0.9934160709381104
pemkot bima;BSI KC Bima Soetta 1;1;0.9323070645332336
pemerintah kota cilegon;Pemerintah Kota Cilegon;1;0.9988686442375184
bank bni kantor cabang karawang;Bank Bukopin;1;0.6587786674499512
bnsp republik indonesia;Indonesia Power;1;0.9906702041625975
pemkot padang;Pegawai BBPOM di Padang;1;0.8914892673492432
pt smf;PT Bank Pembangunan Daerah Jawa Barat dan Banten, Tbk;1;0.9338275194168092
pt hutama karya persero;PT Hutama Karya (Persero);1;0.99801105260849
hotel natour;Aston Hotel;0;0.971105456352234
pemerintah kabupaten aceh barat daya;SMK Negeri 1 Palasah Cabang Dinas Pendidikan Wilayah IX Provinsi Jawa Barat;0;0.9976568222045898
pemerintah kabupaten gorontalo;Disdik Pemkot Gorontalo;1;0.9964818954467772
pemkot blitar;Walikota Blitar;1;0.9985491633415222
badan pengelola keuangan haji bpkh;Kementerian Keuangan Bangladesh;1;0.7315599918365479
pt bgr;PT Lisna Syifa Prima Padang;1;0.9049819707870485
pemkab gresik;Koperasi Karyawan Keluarga Besar Petrokimia Gresik (K3PG);1;0.9939380884170532
pemprov jateng;BPD Jateng Capem Ngadirejo;1;0.9216685891151428
pt jamkrindo cabang bandung;PT. JAMKRINDO KANWIL VIII Banjarmasin & KC Tarakan;1;0.979304850101471
indofarma global medika cabang;PT. Triguna Medika Pratama;0;0.9806140661239624
pt smf;PT Bank Centra Asia Tbk, Corporate Banking Group;1;0.962130844593048
pemerintah sintang;Pemerintah Kabupaten Sintang;1;0.998429000377655
pt bank mandiri cabang samarinda;Bank Mandiri Medan;1;0.9631777405738832
asuransi angkatan bersenjata;PT. Asuransi Ramayana Cabang Banjarmasin;1;0.9807751178741456
pemkab cianjur;DPRD Cianjur;1;0.987134039402008
nasabah bni;tidak diketahui, namun diduga nasabah BNI;1;0.9928085803985596
inspektorat jenderal tni;Direktorat Jenderal Tanaman Pangan;0;0.990848183631897
kominfo;Balai Besar Pengujian Perangkat Telekomunikasi, Kementerian Kominfo;1;0.977377474308014
pemerintah kabupaten lamongan;Universitas Muhammadiyah Lamongan;0;0.9977918863296508
pt berdikari persero;PT Candi Arta;0;0.995597779750824
jamkrindo;PT. JAMKRINDO;1;0.998909831047058
pt berdikari indonesia;PT SKP;1;0.9989234805107116
pemerintah kabupaten bolaang mongondow;Pemerintah Kabupaten Bolaang Mongondow;1;0.9988020658493042
pt dkb;PT;1;0.9937474727630616
pemkot ambon;Hotel Santika Ambon;1;0.9386196136474608
pemkot bengkulu;Balai POM di Bengkulu;1;0.973881721496582
pt bgr;PT Golden Compas Indonesia;1;0.7400130033493042
pt bgr;PT GLOBAL SELARAS MEDIKA;1;0.9032915234565736
kementerian desa;Ketua Pokmas Desa Putak;0;0.98738431930542
pemerintah kabupaten aceh jaya;PT Saddam Jaya Perkasa;0;0.9982842803001404
pemerintah kabupaten pamekasan;Pemerintah Kabupaten Pamekasan;1;0.9992363452911376
kementerian pekerjaan umum dan perumahan rakyat pupr;Kementerian Kominfo;1;0.9412841796875
pemerintah provinsi jawa tengah;Pemerintah Provinsi Jawa Tengah;1;0.998742401599884
jamkrindo;PT. Jamkrindo Cabang Samarinda;1;0.9971504807472228
pt asuransi jiwasraya persero;PT. ASURANSI TRI PAKARTA;0;0.9925589561462402
pt smf;PT Bulog Cabang Surakarta;1;0.9981447458267212
bgr indonesia;Bank Indonesia Pematangsiantar;1;0.8474012613296509
pt bank mandiri cikampek;PT Bank Mandiri Cikampek;1;0.9984883069992064
pt indah karya persero;Politeknik Kesehatan Karya Husuda Yogyakarta;0;0.995960533618927
pemkab kapuas hulu;Polres Kapuas Hulu;1;0.9893587827682496
badan pusat statistik bps;Kepala Badan Konservasi Borobudur;0;0.9971073269844056
pemerintah kabupaten kudus;Pemerintah Kabupaten Kudus;1;0.998769462108612
primissima batik;Sila Butik Batik;0;0.8795697689056396
komisi pemilihan umum kabupaten fakfak;rumah sakit umum dinda;0;0.996645987033844
