instansi,reference,status
Pemerintah Kabupaten Jepara,Pemkab Jepara,yes
Pemerintah Kabupaten Jepara,Jepara,no
Pemerintah Kabupaten Jepara,Pemerintah Jepara,yes
Pemerintah Kabupaten Karanganyar,Pemkab Karanganyar,yes
Pemerintah Kabupaten Karanganyar,Karanganyar,no
Pemerintah Kabupaten Karanganyar,Pemerintah Karanganyar,yes
Pemerintah Kabupaten Kebumen,Pemkab Kebumen,yes
Pemerintah Kabupaten Kebumen,Kebumen,no
Pemerintah Kabupaten Kebumen,Pemerintah Kebumen,yes
Pemerintah Kabupaten Kendal,Pemkab Kendal,yes
Pemerintah Kabupaten Kendal,Kendal,no
Pemerintah Kabupaten Kendal,Pemerintah Kendal,yes
Pemerintah Kabupaten Klaten,Pemkab Klaten,yes
Pemerintah Kabupaten Klaten,Klaten,no
Pemerintah Kabupaten Klaten,Pemerintah Klaten,yes
Pemerintah Kabupaten Pekalongan,Pemkab Pekalongan,yes
Pemerintah Kabupaten Pekalongan,Pekalongan,no
Pemerintah Kabupaten Pekalongan,Pemerintah Pekalongan,yes
Pemerintah Kabupaten Pemalang,Pemkab Pemalang,yes
Pemerintah Kabupaten Pemalang,Pemalang,no
Pemerintah Kabupaten Pemalang,Pemerintah Pemalang,yes
Pemerintah Kabupaten Purbalingga,Pemkab Purbalingga,yes
Pemerintah Kabupaten Purbalingga,Purbalingga,no
Pemerintah Kabupaten Purbalingga,Pemerintah Purbalingga,yes
Pemerintah Kabupaten Purworejo,Pemkab Purworejo,yes
Pemerintah Kabupaten Purworejo,Purworejo,no
Pemerintah Kabupaten Purworejo,Pemerintah Purworejo,yes
Pemerintah Kabupaten Rembang,Pemkab Rembang,yes
Pemerintah Kabupaten Rembang,Rembang,no
Pemerintah Kabupaten Rembang,Pemerintah Rembang,yes
Pemerintah Kabupaten Semarang,Pemkab Semarang,yes
Pemerintah Kabupaten Semarang,Semarang,no
Pemerintah Kabupaten Semarang,Pemerintah Semarang,yes
Pemerintah Kabupaten Sukoharjo,Pemkab Sukoharjo,yes
Pemerintah Kabupaten Sukoharjo,Sukoharjo,no
Pemerintah Kabupaten Sukoharjo,Pemerintah Sukoharjo,yes
Pemerintah Kabupaten Tegal,Pemkab Tegal,yes
Pemerintah Kabupaten Tegal,Tegal,no
Pemerintah Kabupaten Tegal,Pemerintah Tegal,yes
Pemerintah Kabupaten Wonogiri,Pemkab Wonogiri,yes
Pemerintah Kabupaten Wonogiri,Wonogiri,no
Pemerintah Kabupaten Wonogiri,Pemerintah Wonogiri,yes
Pemerintah Kabupaten Wonosobo,Pemkab Wonosobo,yes
Pemerintah Kabupaten Wonosobo,Wonosobo,no
Pemerintah Kabupaten Wonosobo,Pemerintah Wonosobo,yes
Pemerintah Kota Salatiga,Pemkot Salatiga,yes
Pemerintah Kota Salatiga,Salatiga,no
Pemerintah Kota Salatiga,Pemerintah Salatiga,yes
Pemerintah Provinsi Jawa Tengah,Pemprov Jawa Tengah,yes
Pemerintah Provinsi Jawa Tengah,Jawa Tengah,no
Pemerintah Provinsi Jawa Tengah,Pemerintah Jawa Tengah,yes
Pemerintah Provinsi Jawa Tengah,Pemprov Jateng,yes
Pemerintah Kabupaten Bangkalan,Pemkab Bangkalan,yes
Pemerintah Kabupaten Bangkalan,Bangkalan,no
Pemerintah Kabupaten Bangkalan,Pemerintah Bangkalan,yes
Pemerintah Kabupaten Blitar,Pemkab Blitar,yes
Pemerintah Kabupaten Blitar,Blitar,no
Pemerintah Kabupaten Blitar,Pemerintah Blitar,yes
Pemerintah Kabupaten Bojonegoro,Pemkab Bojonegoro,yes
Pemerintah Kabupaten Bojonegoro,Bojonegoro,no
Pemerintah Kabupaten Bojonegoro,Pemerintah Bojonegoro,yes
Pemerintah Kabupaten Bondowoso,Pemkab Bondowoso,yes
Pemerintah Kabupaten Bondowoso,Bondowoso,no
Pemerintah Kabupaten Bondowoso,Pemerintah Bondowoso,yes
Pemerintah Kabupaten Jember,Pemkab Jember,yes
Pemerintah Kabupaten Jember,Jember,no
Pemerintah Kabupaten Jember,Pemerintah Jember,yes
Pemerintah Kabupaten Jombang,Pemkab Jombang,yes
Pemerintah Kabupaten Jombang,Jombang,no
Pemerintah Kabupaten Jombang,Pemerintah Jombang,yes
Pemerintah Kabupaten Kediri,Pemkab Kediri,yes
Pemerintah Kabupaten Kediri,Kediri,no
Pemerintah Kabupaten Kediri,Pemerintah Kediri,yes
Pemerintah Kabupaten Lamongan,Pemkab Lamongan,yes
Pemerintah Kabupaten Lamongan,Lamongan,no
Pemerintah Kabupaten Lamongan,Pemerintah Lamongan,yes
Pemerintah Kabupaten Lumajang,Pemkab Lumajang,yes
Pemerintah Kabupaten Lumajang,Lumajang,no
Pemerintah Kabupaten Lumajang,Pemerintah Lumajang,yes
Pemerintah Kabupaten Magetan,Pemkab Magetan,yes
Pemerintah Kabupaten Magetan,Magetan,no
Pemerintah Kabupaten Magetan,Pemerintah Magetan,yes
Pemerintah Kabupaten Mojokerto,Pemkab Mojokerto,yes
Pemerintah Kabupaten Mojokerto,Mojokerto,no
Pemerintah Kabupaten Mojokerto,Pemerintah Mojokerto,yes
Pemerintah Kabupaten Ngawi,Pemkab Ngawi,yes
Pemerintah Kabupaten Ngawi,Ngawi,no
Pemerintah Kabupaten Ngawi,Pemerintah Ngawi,yes
Pemerintah Kabupaten Pacitan,Pemkab Pacitan,yes
Pemerintah Kabupaten Pacitan,Pacitan,no
Pemerintah Kabupaten Pacitan,Pemerintah Pacitan,yes
Pemerintah Kabupaten Pamekasan,Pemkab Pamekasan,yes
Pemerintah Kabupaten Pamekasan,Pamekasan,no
Pemerintah Kabupaten Pamekasan,Pemerintah Pamekasan,yes
Pemerintah Kabupaten Pasuruan,Pemkab Pasuruan,yes
Pemerintah Kabupaten Pasuruan,Pasuruan,no
Pemerintah Kabupaten Pasuruan,Pemerintah Pasuruan,yes
Pemerintah Kabupaten Ponorogo,Pemkab Ponorogo,yes
Pemerintah Kabupaten Ponorogo,Ponorogo,no
Pemerintah Kabupaten Ponorogo,Pemerintah Ponorogo,yes
Pemerintah Kabupaten Probolinggo,Pemkab Probolinggo,yes
Pemerintah Kabupaten Probolinggo,Probolinggo,no
Pemerintah Kabupaten Probolinggo,Pemerintah Probolinggo,yes
Pemerintah Kabupaten Sidoarjo,Pemkab Sidoarjo,yes
Pemerintah Kabupaten Sidoarjo,Sidoarjo,no
Pemerintah Kabupaten Sidoarjo,Pemerintah Sidoarjo,yes
Pemerintah Kabupaten Sumenep,Pemkab Sumenep,yes
Pemerintah Kabupaten Sumenep,Sumenep,no
Pemerintah Kabupaten Sumenep,Pemerintah Sumenep,yes
Pemerintah Kabupaten Trenggalek,Pemkab Trenggalek,yes
Pemerintah Kabupaten Trenggalek,Trenggalek,no
Pemerintah Kabupaten Trenggalek,Pemerintah Trenggalek,yes
Pemerintah Kabupaten Tuban,Pemkab Tuban,yes
Pemerintah Kabupaten Tuban,Tuban,no
Pemerintah Kabupaten Tuban,Pemerintah Tuban,yes
Pemerintah Kabupaten Tulungagung,Pemkab Tulungagung,yes
Pemerintah Kabupaten Tulungagung,Tulungagung,no
Pemerintah Kabupaten Tulungagung,Pemerintah Tulungagung,yes
Pemerintah Kota Batu,Pemkot Batu,yes
Pemerintah Kota Batu,Batu,no
Pemerintah Kota Batu,Pemerintah Batu,yes
Pemerintah Kota Blitar,Pemkot Blitar,yes
Pemerintah Kota Blitar,Blitar,no
Pemerintah Kota Kediri,Pemkot Kediri,yes
Pemerintah Kota Kediri,Kediri,no
Pemerintah Kota Madiun,Pemkot Madiun,yes
Pemerintah Kota Madiun,Madiun,no
Pemerintah Kota Malang,Pemkot Malang,yes
Pemerintah Kota Malang,Malang,no
Pemerintah Kota Pasuruan,Pemkot Pasuruan,yes
Pemerintah Kota Pasuruan,Pasuruan,no
Pemerintah Provinsi Jawa Timur,Pemprov Jawa Timur,yes
Pemerintah Provinsi Jawa Timur,Jawa Timur,no
Pemerintah Provinsi Jawa Timur,Pemerintah Jawa Timur,yes
Pemerintah Provinsi Jawa Timur,Pemprov Jatim,yes
Pemerintah Kabupaten Bengkayang,Pemkab Bengkayang,yes
Pemerintah Kabupaten Bengkayang,Bengkayang,no
Pemerintah Kabupaten Bengkayang,Pemerintah Bengkayang,yes
Pemerintah Kabupaten Kapuas Hulu,Pemkab Kapuas Hulu,yes
Pemerintah Kabupaten Kapuas Hulu,Kapuas Hulu,no
Pemerintah Kabupaten Kapuas Hulu,Pemerintah Kapuas Hulu,yes
Pemerintah Kabupaten Kayong Utara,Pemkab Kayong Utara,yes
Pemerintah Kabupaten Kayong Utara,Kayong Utara,no
Pemerintah Kabupaten Kayong Utara,Pemerintah Kayong Utara,yes
Pemerintah Kabupaten Ketapang,Pemkab Ketapang,yes
Pemerintah Kabupaten Ketapang,Ketapang,no
Pemerintah Kabupaten Ketapang,Pemerintah Ketapang,yes
Pemerintah Kabupaten Kubu Raya,Pemkab Kubu Raya,yes
Pemerintah Kabupaten Kubu Raya,Kubu Raya,no
Pemerintah Kabupaten Kubu Raya,Pemerintah Kubu Raya,yes
Pemerintah Kabupaten Landak,Pemkab Landak,yes
Pemerintah Kabupaten Landak,Landak,no
Pemerintah Kabupaten Landak,Pemerintah Landak,yes
Pemerintah Kabupaten Mempawah,Pemkab Mempawah,yes
Pemerintah Kabupaten Mempawah,Mempawah,no
Pemerintah Kabupaten Mempawah,Pemerintah Mempawah,yes
Pemerintah Kabupaten Sambas,Pemkab Sambas,yes
Pemerintah Kabupaten Sambas,Sambas,no
Pemerintah Kabupaten Sambas,Pemerintah Sambas,yes
Pemerintah Kabupaten Sanggau,Pemkab Sanggau,yes
Pemerintah Kabupaten Sanggau,Sanggau,no
Pemerintah Kabupaten Sanggau,Pemerintah Sanggau,yes
Pemerintah Kabupaten Sekadau,Pemkab Sekadau,yes
Pemerintah Kabupaten Sekadau,Sekadau,no
Pemerintah Kabupaten Sekadau,Pemerintah Sekadau,yes
Pemerintah Kota Pontianak,Pemkot Pontianak,yes
Pemerintah Kota Pontianak,Pontianak,no
Pemerintah Kota Pontianak,Pemerintah Pontianak,yes
Pemerintah Kota Singkawang,Pemkot Singkawang,yes
Pemerintah Kota Singkawang,Singkawang,no
Pemerintah Kota Singkawang,Pemerintah Singkawang,yes
Pemerintah Provinsi Kalimantan Barat,Pemprov Kalimantan Barat,yes
Pemerintah Provinsi Kalimantan Barat,Kalimantan Barat,no
Pemerintah Provinsi Kalimantan Barat,Pemerintah Kalimantan Barat,yes
Pemerintah Provinsi Kalimantan Barat,Pemprov Kalbar,yes
Pemerintah Kabupaten Balangan,Pemkab Balangan,yes
Pemerintah Kabupaten Balangan,Balangan,no
Pemerintah Kabupaten Balangan,Pemerintah Balangan,yes
Pemerintah Kabupaten Hulu Sungai Selatan,Pemkab Hulu Sungai Selatan,yes
Pemerintah Kabupaten Hulu Sungai Selatan,Hulu Sungai Selatan,no
Pemerintah Kabupaten Hulu Sungai Selatan,Pemerintah Hulu Sungai Selatan,yes
Pemerintah Kabupaten Hulu Sungai Tengah,Pemkab Hulu Sungai Tengah,yes
Pemerintah Kabupaten Hulu Sungai Tengah,Hulu Sungai Tengah,no
Pemerintah Kabupaten Hulu Sungai Tengah,Pemerintah Hulu Sungai Tengah,yes
Pemerintah Kabupaten Hulu Sungai Utara,Pemkab Hulu Sungai Utara,yes
Pemerintah Kabupaten Hulu Sungai Utara,Hulu Sungai Utara,no
Pemerintah Kabupaten Hulu Sungai Utara,Pemerintah Hulu Sungai Utara,yes
Pemerintah Kabupaten Tabalong,Pemkab Tabalong,yes
Pemerintah Kabupaten Tabalong,Tabalong,no
Pemerintah Kabupaten Tabalong,Pemerintah Tabalong,yes
Pemerintah Kabupaten Aceh Barat,Pemerintah Kabupaten Aceh Tengah,no
Pemerintah Kabupaten Aceh Barat,Pemerintah Kabupaten Aceh Jaya,no
Pemerintah Kabupaten Aceh Barat,Pemkab Aceh Jaya,no
Pemerintah Kabupaten Aceh Barat,Pemkab Aceh Tengah,no
Pemerintah Kabupaten Aceh Barat,Pemerintah Provinsi Nanggroe Aceh Darusalam,no
Pemerintah Kabupaten Aceh Barat,Pemprov Nanggroe Aceh Darusalam,no
Pemerintah Kabupaten Aceh Barat,Pemkab Aceh Besar,no
Pemerintah Kabupaten Aceh Barat,Pemerintah Kabupaten Aceh Besar,no
Pemerintah Kabupaten Aceh Barat,Pemkab Aceh Timur,no
Pemerintah Kabupaten Aceh Barat,Pemerintah Kabupaten Aceh Timur,no
Pemerintah Kabupaten Aceh Barat,Pemerintah Kota Banda Aceh,no
Pemerintah Kabupaten Aceh Barat,Pemkab Aceh Tamiang,no
Pemerintah Kabupaten Aceh Barat,Pemerintah Kabupaten Aceh Tamiang,no
Pemerintah Kabupaten Aceh Barat,Pemkot Banda Aceh,no
Pemerintah Kabupaten Aceh Barat,Pemkab Aceh Barat,yes
Pemerintah Kabupaten Aceh Barat,Pemerintah Kabupaten Aceh Utara,no
Pemerintah Kabupaten Aceh Barat,Pemkab Aceh Utara,no
Pemerintah Kabupaten Aceh Barat,Pemkab Aceh Barat Daya,no
Pemerintah Kabupaten Aceh Barat,Pemerintah Kabupaten Aceh Tenggara,no
Pemerintah Kabupaten Aceh Barat,Pemkab Aceh Tenggara,no
Pemerintah Kabupaten Aceh Barat,Pemerintah Kabupaten Aceh Selatan,no
Pemerintah Kabupaten Aceh Barat,Pemerintah Kabupaten Aceh Barat Daya,no
Pemerintah Kabupaten Aceh Barat,Pemkab Aceh Singkil,no
Pemerintah Kabupaten Aceh Barat,Pemerintah Kabupaten Aceh Singkil,no
Pemerintah Kabupaten Aceh Barat,Pemkab Aceh Selatan,no
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah Kabupaten Aceh Barat,no
Pemerintah Kabupaten Aceh Barat Daya,Pemkab Aceh Tamiang,no
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah Kabupaten Aceh Tamiang,no
Pemerintah Kabupaten Aceh Barat Daya,Pemkab Aceh Tenggara,no
Pemerintah Kabupaten Aceh Barat Daya,Pemkab Aceh Selatan,no
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah Kabupaten Aceh Selatan,no
Pemerintah Kabupaten Aceh Barat Daya,Pemkab Aceh Tengah,no
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah Kabupaten Aceh Tengah,no
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah Kota Banda Aceh,no
Pemerintah Kabupaten Aceh Barat Daya,Pemkot Banda Aceh,no
Pemerintah Kabupaten Aceh Barat Daya,Pemkab Aceh Singkil,no
Pemerintah Kabupaten Aceh Barat Daya,Pemkab Aceh Barat Daya,yes
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah Kabupaten Aceh Tenggara,no
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah Kabupaten Aceh Singkil,no
Pemerintah Kabupaten Aceh Barat Daya,Pemkab Aceh Barat,no
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah Kabupaten Aceh Utara,no
Pemerintah Kabupaten Aceh Barat Daya,Pemkab Aceh Utara,no
Pemerintah Kabupaten Aceh Barat Daya,Pemkab Aceh Jaya,no
Pemerintah Kabupaten Aceh Barat Daya,Pemkab Aceh Besar,no
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah Kabupaten Aceh Besar,no
Pemerintah Kabupaten Aceh Barat Daya,Pemprov Nanggroe Aceh Darusalam,no
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah Provinsi Nanggroe Aceh Darusalam,no
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah Kabupaten Aceh Timur,no
Pemerintah Kabupaten Aceh Barat Daya,Pemerintah Kabupaten Aceh Jaya,no
Pemerintah Kabupaten Aceh Barat Daya,Pemkab Aceh Timur,no
Pemerintah Kabupaten Aceh Jaya,Pemerintah Kabupaten Aceh Timur,no
Pemerintah Kabupaten Aceh Jaya,Pemkab Aceh Timur,no
Pemerintah Kabupaten Aceh Jaya,Pemkab Aceh Jaya,yes
Pemerintah Kabupaten Aceh Jaya,Pemerintah Kota Banda Aceh,no
Pemerintah Kabupaten Aceh Jaya,Pemkot Banda Aceh,no
Pemerintah Kabupaten Aceh Jaya,Pemkab Aceh Barat,no
Pemerintah Kabupaten Aceh Jaya,Pemkab Aceh Utara,no
Pemerintah Kabupaten Aceh Jaya,Pemerintah Kabupaten Aceh Utara,no
Pemerintah Kabupaten Aceh Jaya,Pemerintah Kabupaten Aceh Besar,no
Pemerintah Kabupaten Aceh Jaya,Pemerintah Kabupaten Aceh Barat,no
Pemerintah Kabupaten Aceh Jaya,Pemkab Aceh Besar,no
Pemerintah Kabupaten Aceh Jaya,Pemerintah Provinsi Nanggroe Aceh Darusalam,no
Pemerintah Kabupaten Aceh Jaya,Pemkab Aceh Selatan,no
Pemerintah Kabupaten Aceh Jaya,Pemprov Nanggroe Aceh Darusalam,no
Pemerintah Kabupaten Aceh Jaya,Pemkab Aceh Tamiang,no
Pemerintah Kabupaten Aceh Jaya,Pemerintah Kabupaten Aceh Tamiang,no
Pemerintah Kabupaten Aceh Jaya,Pemerintah Kabupaten Aceh Tengah,no
Pemerintah Kabupaten Aceh Jaya,Pemkab Aceh Tengah,no
Pemerintah Kabupaten Aceh Jaya,Pemerintah Kabupaten Aceh Tenggara,no
Pemerintah Kabupaten Aceh Jaya,Pemkab Aceh Tenggara,no
Pemerintah Kabupaten Aceh Jaya,Pemerintah Kabupaten Aceh Selatan,no
Pemerintah Kabupaten Aceh Jaya,Pemkab Aceh Barat Daya,no
Pemerintah Kabupaten Aceh Jaya,Pemerintah Kabupaten Aceh Barat Daya,no
Pemerintah Kabupaten Aceh Jaya,Pemkab Aceh Singkil,no
Pemerintah Kabupaten Aceh Jaya,Pemerintah Kabupaten Aceh Singkil,no
Pemerintah Kabupaten Aceh Selatan,Pemkab Aceh Singkil,no
Pemerintah Kabupaten Aceh Selatan,Pemerintah Kabupaten Aceh Barat Daya,no
Pemerintah Kabupaten Aceh Selatan,Pemkab Aceh Barat Daya,no
Pemerintah Kabupaten Aceh Selatan,Pemkab Aceh Tamiang,no
Pemerintah Kabupaten Aceh Selatan,Pemkot Banda Aceh,no
Pemerintah Kabupaten Aceh Selatan,Pemkab Aceh Barat,no
Pemerintah Kabupaten Aceh Selatan,Pemerintah Kabupaten Aceh Barat,no
Pemerintah Kabupaten Aceh Selatan,Pemerintah Kabupaten Aceh Tamiang,no
Pemerintah Kabupaten Aceh Selatan,Pemerintah Kabupaten Aceh Tengah,no
Pemerintah Kabupaten Aceh Selatan,Pemkab Aceh Selatan,yes
Pemerintah Kabupaten Aceh Selatan,Pemkab Aceh Tenggara,no
Pemerintah Kabupaten Aceh Selatan,Pemkab Aceh Jaya,no
Pemerintah Kabupaten Aceh Selatan,Pemerintah Kabupaten Aceh Jaya,no
Pemerintah Kabupaten Aceh Selatan,Pemerintah Kabupaten Aceh Tenggara,no
Pemerintah Kabupaten Aceh Selatan,Pemerintah Kabupaten Aceh Besar,no
Pemerintah Kabupaten Aceh Selatan,Pemkab Aceh Besar,no
Pemerintah Kabupaten Aceh Selatan,Pemkab Aceh Tengah,no
Pemerintah Kabupaten Aceh Selatan,Pemerintah Kabupaten Aceh Timur,no
Pemerintah Kabupaten Aceh Selatan,Pemkab Aceh Timur,no
Pemerintah Kabupaten Aceh Selatan,Pemerintah Kabupaten Aceh Utara,no
Pemerintah Kabupaten Aceh Selatan,Pemkab Aceh Utara,no
Pemerintah Kabupaten Aceh Selatan,Pemerintah Provinsi Nanggroe Aceh Darusalam,no
Pemerintah Kabupaten Aceh Selatan,Pemprov Nanggroe Aceh Darusalam,no
Pemerintah Kabupaten Aceh Selatan,Pemerintah Kabupaten Aceh Singkil,no
Pemerintah Kabupaten Aceh Selatan,Pemerintah Kota Banda Aceh,no
Pemerintah Kabupaten Aceh Tengah,Pemkab Aceh Singkil,no
Pemerintah Kabupaten Aceh Tengah,Pemerintah Provinsi Nanggroe Aceh Darusalam,no
Pemerintah Kabupaten Aceh Tengah,Pemerintah Kabupaten Aceh Barat,no
Pemerintah Kabupaten Aceh Tengah,Pemerintah Kabupaten Aceh Singkil,no
Pemerintah Kabupaten Aceh Tengah,Pemprov Nanggroe Aceh Darusalam,no
Pemerintah Kabupaten Aceh Tengah,Pemkab Aceh Barat,no
Pemerintah Kabupaten Aceh Tengah,Pemkab Aceh Tenggara,no
Pemerintah Kabupaten Aceh Tengah,Pemerintah Kabupaten Aceh Tamiang,no
Pemerintah Kabupaten Aceh Tengah,Pemerintah Kabupaten Aceh Selatan,no
Pemerintah Kabupaten Aceh Tengah,Pemkab Aceh Selatan,no
Pemerintah Kabupaten Aceh Tengah,Pemkab Aceh Tamiang,no
Pemerintah Kabupaten Aceh Tengah,Pemerintah Kabupaten Aceh Barat Daya,no
Pemerintah Kabupaten Aceh Tengah,Pemkab Aceh Barat Daya,no
Pemerintah Kabupaten Aceh Tengah,Pemerintah Kabupaten Aceh Utara,no
Pemerintah Kabupaten Aceh Tengah,Pemerintah Kabupaten Aceh Tenggara,no
Pemerintah Kabupaten Aceh Tengah,Pemkot Banda Aceh,no
Pemerintah Kabupaten Aceh Tengah,Pemkab Aceh Utara,no
Pemerintah Kabupaten Aceh Tengah,Pemkab Aceh Tengah,yes
Pemerintah Kabupaten Aceh Tengah,Pemerintah Kabupaten Aceh Timur,no
Pemerintah Kabupaten Aceh Tengah,Pemkab Aceh Timur,no
Pemerintah Kabupaten Aceh Tengah,Pemerintah Kota Banda Aceh,no
Pemerintah Kabupaten Aceh Tengah,Pemkab Aceh Besar,no
Pemerintah Kabupaten Aceh Tengah,Pemerintah Kabupaten Aceh Besar,no
Pemerintah Kabupaten Aceh Tengah,Pemkab Aceh Jaya,no
Pemerintah Kabupaten Aceh Tengah,Pemerintah Kabupaten Aceh Jaya,no
Pemerintah Kabupaten Alor,Pemkab Alor,yes
Pemerintah Kabupaten Alor,Pulau Alor,no
Pemerintah Kabupaten Asmat,Suku Asmat,no
Pemerintah Kabupaten Asmat,Pemkab Asmat,yes
Pemerintah Kabupaten Barito Selatan,Pemkab Barito Selatan,yes
Pemerintah Kabupaten Barito Selatan,Pemkab Barito Utara,no
Pemerintah Kabupaten Barito Selatan,Pemerintah Kabupaten Barito Utara,no
Pemerintah Kabupaten Barito Selatan,Pemkab Barito Timur,no
Pemerintah Kabupaten Barito Selatan,Pemerintah Kabupaten Barito Timur,no
Pemerintah Kabupaten Barito Utara,Pemkab Barito Utara,yes
Pemerintah Kabupaten Barito Utara,Pemkab Barito Selatan,no
Pemerintah Kabupaten Barito Utara,Pemerintah Kabupaten Barito Selatan,no
Pemerintah Kabupaten Barito Utara,Pemerintah Kabupaten Barito Timur,no
Pemerintah Kabupaten Barito Utara,Pemkab Barito Timur,no
Pemerintah Kabupaten Belu,Pemkab Belu,yes
Pemerintah Kabupaten Belu,Pemkab Berau,no
Pemerintah Kabupaten Belu,Pemerintah Kabupaten Berau,no
Pemerintah Kabupaten Biak Numfor,Pemkab Biak Numfor,yes
Pemerintah Kabupaten Biak Numfor,Pulau Biak,no
Pemerintah Kabupaten Bima,Pemkab Bima,yes
Pemerintah Kabupaten Bima,Kota Lima,no
Pemerintah Kabupaten Bintan,Pemerintah Kabupaten Pegunungan Bintang,no
Pemerintah Kabupaten Bintan,Pemkab Pegunungan Bintang,no
Pemerintah Kabupaten Bintan,Pemkab Bintan,yes
Pemerintah Kabupaten Bireuen,Pemkab Bireuen,yes
Pemerintah Kabupaten Bireuen,Badan Pusat Statistik Kabupaten Bireuen,no
Pemerintah Kabupaten Bireuen,BPS Kabupaten Bireuen,no
Pemerintah Kabupaten Boven Digoel,Pemkab Boven Digul,yes
Pemerintah Kabupaten Boven Digoel,Pemerintah Kabupaten Boven Digul,yes
Pemerintah Kabupaten Boven Digoel,Pemkab Boven Digoel,yes
Pemerintah Kabupaten Bulungan,Jalan Bulungan,no
Pemerintah Kabupaten Bulungan,Jl. Bulungan,no
Pemerintah Kabupaten Bulungan,Desa Bulungan,no
Pemerintah Kabupaten Bulungan,Pemkab Bulungan,yes
Pemerintah Kabupaten Buru,Pemkab Buru Selatan,no
Pemerintah Kabupaten Buru,Pemerintah Kabupaten Buru Selatan,no
Pemerintah Kabupaten Buru,Pemkab Buru,yes
Pemerintah Kabupaten Buru Selatan,Pemkab Buru Selatan,yes
Pemerintah Kabupaten Buru Selatan,Pemerintah Kabupaten Buru,no
Pemerintah Kabupaten Buru Selatan,Pemkab Buru,no
Pemerintah Kabupaten Deiyai,Pemerintah Kabupaten Dogiyai,no
Pemerintah Kabupaten Deiyai,Pemkab Dogiyai,no
Pemerintah Kabupaten Deiyai,Pemkab Deiyai,yes
Pemerintah Kabupaten Dogiyai,Pemkab Deiyai,no
Pemerintah Kabupaten Dogiyai,Pemerintah Kabupaten Deiyai,no
Pemerintah Kabupaten Dogiyai,Pemkab Dogiyai,yes
Pemerintah Kabupaten Dompu,PA Dompu,no
Pemerintah Kabupaten Dompu,Pengadilan Agama Dompu,no
Pemerintah Kabupaten Dompu,Pemkab Dompu,yes
Pemerintah Kabupaten Dompu,Kementerian Agama Kabupaten Dompu,no
Pemerintah Kabupaten Dompu,Kemenag Kabupaten Dompu,no
Pemerintah Kabupaten Ende,Pemkab Ende,yes
Pemerintah Kabupaten Ende,Keuskupan Agung Ende,no
Pemerintah Kabupaten Fak Fak,Pemkab Fak Fak,yes
Pemerintah Kabupaten Fak Fak,Pemerintah Kabupaten Fakfak,yes
Pemerintah Kabupaten Fak Fak,Pemkab Fakfak,yes
Pemerintah Kabupaten Gayo Lues,Pemkab Gayo Lues,yes
Pemerintah Kabupaten Gayo Lues,Aceh Gayo,no
Pemerintah Kabupaten Gayo Lues,Gayo Hijau,no
Pemerintah Kabupaten Gunung Mas,Gunung Mas Puncak,no
Pemerintah Kabupaten Gunung Mas,Pemkab Gunung Mas,yes
Pemerintah Kabupaten Halmahera Selatan,Pemerintah Kabupaten Halmahera Utara,no
Pemerintah Kabupaten Halmahera Selatan,Pemkab Halmahera Utara,no
Pemerintah Kabupaten Halmahera Selatan,Pemerintah Kabupaten Halmahera Timur,no
Pemerintah Kabupaten Halmahera Selatan,Pemerintah Kabupaten Halmahera Barat,no
Pemerintah Kabupaten Halmahera Selatan,Pemkab Halmahera Barat,no
Pemerintah Kabupaten Halmahera Selatan,Pemerintah Kabupaten Halmahera Tengah,no
Pemerintah Kabupaten Halmahera Selatan,Pemkab Halmahera Timur,no
Pemerintah Kabupaten Halmahera Selatan,Pemkab Halmahera Tengah,no
Pemerintah Kabupaten Halmahera Selatan,Pemkab Halmahera Selatan,yes
Pemerintah Kabupaten Halmahera Tengah,Pemkab Halmahera Utara,no
Pemerintah Kabupaten Halmahera Tengah,Pemkab Halmahera Selatan,no
Pemerintah Kabupaten Halmahera Tengah,Pemerintah Kabupaten Halmahera Timur,no
Pemerintah Kabupaten Halmahera Tengah,Pemkab Halmahera Barat,no
Pemerintah Kabupaten Halmahera Tengah,Pemerintah Kabupaten Halmahera Utara,no
Pemerintah Kabupaten Halmahera Tengah,Pemkab Halmahera Tengah,yes
Pemerintah Kabupaten Halmahera Tengah,Pemkab Halmahera Timur,no
Pemerintah Kabupaten Halmahera Tengah,Pemerintah Kabupaten Halmahera Selatan,no
Pemerintah Kabupaten Halmahera Tengah,Pemerintah Kabupaten Halmahera Barat,no
Pemerintah Kabupaten Halmahera Utara,Pemkab Halmahera Utara,yes
Pemerintah Kabupaten Halmahera Utara,Pemkab Halmahera Barat,no
Pemerintah Kabupaten Halmahera Utara,Pemerintah Kabupaten Halmahera Barat,no
Pemerintah Kabupaten Halmahera Utara,Pemkab Halmahera Timur,no
