instansi,reference,status
Perum Lembaga Kantor Berita Nasional Antara (LKBN Antara),Perum Pembangunan Perumahan Nasional (Perumnas),no
Perum Lembaga Kantor Berita Nasional Antara (LKBN Antara),Kantor Perum DAMRI,no
Perum Pembangunan Perumahan Nasional (Perumnas),Perusahaan Umum Pembangunan Perumahan Nasional,yes
Perum Pembangunan Perumahan Nasional (Perumnas),Perum Perumnas,yes
Perum Pembangunan Perumahan Nasional (Perumnas),Perum Lembaga Kantor Berita Nasional Antara (LKBN Antara),no
Perum Pembangunan Perumahan Nasional (Perumnas),Konsumen Perumahan Nasional,no
Perum Pengangkutan Penumpang Djakarta (PPD),Perum PPD,yes
Perum Pengangkutan Penumpang Djakarta (PPD),Perusahaan Umum Pengangkutan Penumpang Djakarta,yes
Perum Pengangkutan Penumpang Djakarta (PPD),Pengangkutan Penumpang,no
Perum Pengangkutan Penumpang Djakarta (PPD),Dinas Perumahan Rakyat dan Permukiman Provinsi DKI Jakarta,no
Perum Percetakan Negara Republik Indonesia (PNRI),Perum PNRI,yes
Perum Percetakan Negara Republik Indonesia (PNRI),Perusahaan Umum Percetakan Negara Republik Indonesia,yes
Perum Percetakan Negara Republik Indonesia (PNRI),Perum Percetakan Uang Republik Indonesia (Peruri),no
Perum Percetakan Negara Republik Indonesia (PNRI),Perum Kehutanan Negara (Perhutani),no
Perum Percetakan Uang Republik Indonesia (Peruri),Perum Peruri,yes
Perum Percetakan Uang Republik Indonesia (Peruri),Peruri,yes
Perum Percetakan Uang Republik Indonesia (Peruri),Perum Percetakan Negara Republik Indonesia (PNRI),no
Perum Percetakan Uang Republik Indonesia (Peruri),Perum Perikanan Indonesia,no
Perum Produksi Film Negara (PFN),Perum PFN,yes
Perum Produksi Film Negara (PFN),Perusahaan Umum Produksi Film Negara,yes
Perum Produksi Film Negara (PFN),Perum Kehutanan Negara (Perhutani),no
Perum Produksi Film Negara (PFN),Perum Percetakan Negara Republik Indonesia (PNRI),no
"PT Adhi Karya (Persero), Tbk.",PT Adhi Karya,yes
"PT Adhi Karya (Persero), Tbk.",Adhi Karya,yes
"PT Adhi Karya (Persero), Tbk.",PT Amarta Karya (Persero),no
"PT Adhi Karya (Persero), Tbk.",PT Karya Solusi Prima Sejahtera,no
PT Amarta Karya (Persero),PT AMKA,yes
PT Amarta Karya (Persero),Amarta Karya,yes
PT Amarta Karya (Persero),PT Adhi Karya (Persero),no
PT Amarta Karya (Persero),PT Karya Solusi Prima Sejahtera,no
PT Angkasa Pura I (Persero),Angkasa Pura,yes
PT Angkasa Pura I (Persero),AP1,yes
PT Angkasa Pura I (Persero),Angkasa Pura II,no
PT Angkasa Pura I (Persero),Angkasa Pura 2,no
PT Angkasa Pura II (Persero),Angkasa Pura 2,yes
PT Angkasa Pura II (Persero),AP2,yes
PT Angkasa Pura II (Persero),Angkasa Pura,no
PT Angkasa Pura II (Persero),PT Angkasa Pura,no
PT Asabri,PT Asabri (Persero),yes
PT Asabri,Perseta Asabri Pensiunan Polri,yes
PT Asabri,PT Amarta Karya (Persero),no
PT Asabri,PT Asahimas Flat Glass,no
PT Asdp Indonesia Ferry (Persero),PT ASDP Ferry Indonesia,yes
PT Asdp Indonesia Ferry (Persero),ASDP,yes
PT Asdp Indonesia Ferry (Persero),PT Asuransi Jasa Indonesia (Persero),no
PT Asdp Indonesia Ferry (Persero),PT Ferry Sonneville,no
PT Asuransi Jasa Indonesia (Persero),Asuransi Jasindo,yes
PT Asuransi Jasa Indonesia (Persero),Asuransi Jasa Indonesia,yes
PT Asuransi Jasa Indonesia (Persero),PT Asuransi Jasa Raharja (Persero),no
PT Asuransi Jasa Indonesia (Persero),PT Asuransi Jiwasraya (Persero),no
PT Asuransi Jiwasraya (Persero),Asuransi Jiwasraya,yes
PT Asuransi Jiwasraya (Persero),Jiwasraya,yes
PT Asuransi Jiwasraya (Persero),PT Asuransi Jasa Indonesia (Persero),no
PT Asuransi Jiwasraya (Persero),PT Asuransi Kredit Indonesia (Persero),no
PT Asuransi Kredit Indonesia (Persero),Askrindo,yes
PT Asuransi Kredit Indonesia (Persero),PT Askrindo,yes
PT Asuransi Kredit Indonesia (Persero),PT Asuransi Jasa Indonesia (Persero),no
PT Asuransi Kredit Indonesia (Persero),PT Asuransi Jiwasraya (Persero),no
PT Bahana Pembinaan Usaha Indonesia (Persero),Indonesia Financial Group (IFG),yes
PT Bahana Pembinaan Usaha Indonesia (Persero),BPUI,yes
PT Bahana Pembinaan Usaha Indonesia (Persero),PT Bahana Sekuritas,no
PT Bahana Pembinaan Usaha Indonesia (Persero),PT Bahana Selaras,no
"PT Bank Mandiri (Persero), Tbk.",Bank Mandiri,yes
"PT Bank Mandiri (Persero), Tbk.",Bank Mandiri Cihampelas,yes
"PT Bank Mandiri (Persero), Tbk.",PT Sentral Utama Teknikal Mandiri,no
"PT Bank Mandiri (Persero), Tbk.",PT Bank Central Asia Tbk,no
"PT Bank Negara Indonesia (Persero), Tbk. (BNI)",Bank BNI Kantor Cabang Karawang,yes
"PT Bank Negara Indonesia (Persero), Tbk. (BNI)",BNI 46,yes
"PT Bank Negara Indonesia (Persero), Tbk. (BNI)",Bank Rakyat Indonesia,no
"PT Bank Negara Indonesia (Persero), Tbk. (BNI)",Bank Tabungan Negara,no
"PT Bank Rakyat Indonesia (Persero), Tbk. (BRI)",Bank Rakyat Indonesia Cabang Sintang,yes
"PT Bank Rakyat Indonesia (Persero), Tbk. (BRI)",Bank BRI Unit Prambanan,yes
"PT Bank Rakyat Indonesia (Persero), Tbk. (BRI)",Bank Negara Indonesia,no
"PT Bank Rakyat Indonesia (Persero), Tbk. (BRI)",Bank Indonesia,no
PT Bank Tabungan Negara (Persero) (BTN),Bank BTN Jayapura,yes
PT Bank Tabungan Negara (Persero) (BTN),BTN Pluit,yes
PT Bank Tabungan Negara (Persero) (BTN),Bank Negara Indonesia,no
PT Bank Tabungan Negara (Persero) (BTN),PT Bank Tabungan Pensiunan Nasional,no
PT Barata Indonesia (Persero),Barata Indonesia,yes
PT Barata Indonesia (Persero),PT Barata Indonesia,yes
PT Barata Indonesia (Persero),PT Bank Rakyat Indonesia,no
PT Barata Indonesia (Persero),PT Barata Guna Perkasa,no
PT Berdikari (Persero),Berdikari,yes
PT Berdikari (Persero),PT Berdikari,yes
PT Berdikari (Persero),PT Bio Farma,no
PT Berdikari (Persero),PT Bersama Zatta Jaya,no
PT Bhanda Ghara Reksa (Persero),PT BGR Logistik Indonesia,yes
PT Bhanda Ghara Reksa (Persero),BGR,yes
PT Bhanda Ghara Reksa (Persero),PT Danareksa (Persero),no
PT Bhanda Ghara Reksa (Persero),PT Bhakti Multi Artha Tbk,no
PT Bina Karya (Persero),Bina Karya,yes
PT Bina Karya (Persero),Bina Karya Persero,yes
PT Bina Karya (Persero),SMK S SWA Bina Karya,no
PT Bina Karya (Persero),PT Bina Karya Prima,no
PT Bio Farma,PT Bio Farma Bandung,yes
PT Bio Farma,Bio Farma,yes
PT Bio Farma,PT Kimia Farma,no
PT Bio Farma,PT Farma Sevaka Nusantara,no
PT Biro Klasifikasi Indonesia (Persero),BKI,yes
PT Biro Klasifikasi Indonesia (Persero),PT Biro Klasifikasi Indonesia (Persero) Cabang Cirebon,yes
PT Biro Klasifikasi Indonesia (Persero),Biro Perencanaan DPR RI,no
PT Biro Klasifikasi Indonesia (Persero),PT Biro Teknik Sinar Baru,no
PT Boma Bisma Indra (Persero),BBI,yes
PT Boma Bisma Indra (Persero),PT Boma Bisma Indra (Persero) Cabang Jakarta,yes
PT Boma Bisma Indra (Persero),PT Boma Tirta Prima,no
PT Boma Bisma Indra (Persero),PT Bisma Putra Persada,no
PT Brantas Abipraya (Persero),Brantas Abipraya,yes
PT Brantas Abipraya (Persero),Kantor Pusat PT Brantas Abipraya (Persero),yes
PT Brantas Abipraya (Persero),Kereta api Brantas,no
PT Brantas Abipraya (Persero),PT Abishar Technologies Indonesia,no
PT Dahana (Persero),Dahana,yes
PT Dahana (Persero),PT Dahana Subang,yes
PT Dahana (Persero),Gor Dahana,no
PT Dahana (Persero),PT Dahana Berlian Motor,no
PT Dana Tabungan Dan Asuransi Pegawai Negeri / Taspen (Persero),PT Taspen (Persero),yes
PT Dana Tabungan Dan Asuransi Pegawai Negeri / Taspen (Persero),PT Taspen KC Bengkulu,yes
PT Dana Tabungan Dan Asuransi Pegawai Negeri / Taspen (Persero),Bank Mandiri Taspen,no
PT Dana Tabungan Dan Asuransi Pegawai Negeri / Taspen (Persero),Bank Tabungan Pensiunan Nasional,no
PT Danareksa (Persero),Danareksa,yes
PT Danareksa (Persero),PT Danareksa,yes
PT Danareksa (Persero),PT Bhanda Ghara Reksa (Persero),no
PT Danareksa (Persero),Bareksa,no
PT Dirgantara Indonesia (Persero),PTDI,yes
PT Dirgantara Indonesia (Persero),PT Dirgantara Indonesia,yes
PT Dirgantara Indonesia (Persero),PT Dirgantara Yudha Artha,no
PT Dirgantara Indonesia (Persero),PT Garuda Indonesia,no
PT Djakarta Lloyd (Persero),Djakarta Lloyd,yes
PT Djakarta Lloyd (Persero),PT Djakarta Lloyd,yes
PT Djakarta Lloyd (Persero),Perum Pengangkutan Penumpang Djakarta (PPD),no
PT Djakarta Lloyd (Persero),PT Jakarta Propertindo,no
"PT Garuda Indonesia (Persero), Tbk.",Garuda Indonesia,yes
"PT Garuda Indonesia (Persero), Tbk.",PT Garuda Indonesia,yes
"PT Garuda Indonesia (Persero), Tbk.",PT Garuda Metalindo,no
"PT Garuda Indonesia (Persero), Tbk.",PT Garuda Mart Indonesia,no
PT Dok Dan Perkapalan Kodja Bahari (Persero),PT DKB,yes
PT Dok Dan Perkapalan Kodja Bahari (Persero),Dok dan Perkapalan Kodja Bahari,yes
PT Dok Dan Perkapalan Kodja Bahari (Persero),PT Dok dan Perkapalan Surabaya (Persero),no
PT Dok Dan Perkapalan Kodja Bahari (Persero),PT Bahari Eka Nusantara,no
PT Energy Management Indonesia,Emipersero,yes
PT Energy Management Indonesia,PT EMI,yes
PT Energy Management Indonesia,Indonesia Energy Corporation,no
PT Energy Management Indonesia,PT Indika Energy,no
PT Garam,Garam,yes
PT Garam,PT Garam (Persero),yes
PT Garam,PT Gudang Garam Tbk,no
PT Garam,PT Garam Nusantara Lestari,no
PT Geodipa Energi,Geo Dipa Energi,yes
PT Geodipa Energi,PT Geo Dipa Energi (Persero),yes
PT Geodipa Energi,Geo Energy Group,no
PT Geodipa Energi,PT Geotekindo,no
PT Hotel Indonesia Natour (Persero),PT HIN,yes
PT Hotel Indonesia Natour (Persero),Inna Hotels and Resorts,yes
PT Hotel Indonesia Natour (Persero),Hotel Indonesia Kempinski Jakarta,no
PT Hotel Indonesia Natour (Persero),Hotel Indonesia,no
PT Hutama Karya (Persero),Hutama Karya,yes
PT Hutama Karya (Persero),HK,yes
PT Hutama Karya (Persero),PT Karya Utamaputra Mandiri,no
PT Hutama Karya (Persero),PT Karya Putra Nusantara Perkasa,no
PT Indah Karya (Persero),Indah Karya,yes
PT Indah Karya (Persero),PT Indah Karya,yes
PT Indah Karya (Persero),PT Indra Karya (Persero),no
PT Indah Karya (Persero),PT Hutama Karya,no
PT Indonesia Asahan Alumunium (Inalum),PT Inalum,yes
PT Indonesia Asahan Alumunium (Inalum),PT Indonesia Asahan Aluminium (Persero),yes
PT Indonesia Asahan Alumunium (Inalum),PT Daiki Aluminium Industry Indonesia,no
PT Indonesia Asahan Alumunium (Inalum),PT Aluminium Karya Abadi,no
PT Indra Karya (Persero),Indra Karya,yes
PT Indra Karya (Persero),PT Indra Karya,yes
PT Indra Karya (Persero),PT Indah Karya (Persero),no
PT Indra Karya (Persero),PT Hutama Karya (Persero),no
PT Industri Kapal Indonesia (Persero),PT IKI (Persero),yes
PT Industri Kapal Indonesia (Persero),Industri Kapal Indonesia,yes
PT Industri Kapal Indonesia (Persero),PT Industri Kereta Api (Persero),no
PT Industri Kapal Indonesia (Persero),PT Industri Nuklir Indonesia (Persero),no
PT Industri Nuklir Indonesia (Persero),PT INUKI (Persero),yes
PT Industri Nuklir Indonesia (Persero),Industri Nuklir Indonesia,yes
PT Industri Nuklir Indonesia (Persero),PT Industri Kapal Indonesia (Persero),no
PT Industri Nuklir Indonesia (Persero),PT Industri Baterai Indonesia,no
PT Industri Sandang Nusantara (Persero),PT ISN (Persero),yes
PT Industri Sandang Nusantara (Persero),Industri Sandang Nusantara,yes
PT Industri Sandang Nusantara (Persero),PT Bio Industri Nusantara,no
PT Industri Sandang Nusantara (Persero),PT Industri Nusantara Sejahtera Abadi,no
PT Industri Telekomunikasi Indonesia (Persero),PT INTI (Persero),yes
PT Industri Telekomunikasi Indonesia (Persero),INTI,yes
PT Industri Telekomunikasi Indonesia (Persero),PT Industri Nuklir Indonesia (Persero),no
PT Industri Telekomunikasi Indonesia (Persero),PT Industri Kapal Indonesia (Persero),no
PT Istaka Karya (Persero),Istaka Karya,yes
PT Istaka Karya (Persero),PT Istaka Karya,yes
PT Istaka Karya (Persero),PT Indra Karya (Persero),no
PT Istaka Karya (Persero),PT Indah Karya (Persero),no
PT Jakarta Industrial Estate Pulogadung,Jiep Ecogreen,yes
PT Jakarta Industrial Estate Pulogadung,PT JIEP,yes
PT Jakarta Industrial Estate Pulogadung,Balai Diklat Industri Jakarta,no
PT Jakarta Industrial Estate Pulogadung,Hotel Orchardz Industri Jakarta,no
"PT Jasa Marga (Persero), Tbk.",Jasa Marga,yes
"PT Jasa Marga (Persero), Tbk.",PT Jasa Marga Cabang Purbaleunyi,yes
"PT Jasa Marga (Persero), Tbk.",PT Jasa Raharja (Persero),no
"PT Jasa Marga (Persero), Tbk.",PT Jasa Sarana,no
PT Jasa Raharja (Persero),Jasa Raharja,yes
PT Jasa Raharja (Persero),Jasa Raharja Bandung,yes
PT Jasa Raharja (Persero),"PT Jasa Marga (Persero), Tbk.",no
PT Jasa Raharja (Persero),PT Jasa Sarana,no
PT Kawasan Berikat Nusantara (Persero),PT KBN,yes
PT Kawasan Berikat Nusantara (Persero),Kawasan Berikat Nusantara,yes
PT Kawasan Berikat Nusantara (Persero),PT Kawasan Industri Wijayakusuma (Persero),no
PT Kawasan Berikat Nusantara (Persero),PT Nusantara Laju Bersama,no
PT Kawasan Industri Wijayakusuma (Persero),PT KIW,yes
PT Kawasan Industri Wijayakusuma (Persero),Kawasan Industri Wijayakusuma,yes
PT Kawasan Industri Wijayakusuma (Persero),PT Kawasan Berikat Nusantara (Persero),no
PT Kawasan Industri Wijayakusuma (Persero),PT Industri Telekomunikasi Indonesia,no
PT Kimia Farma,Kimia Farma,yes
PT Kimia Farma,PT Kimia Farma Tbk,yes
PT Kimia Farma,PT Indofarma,no
PT Kimia Farma,PT Bio Farma,no
PT Kliring Berjangka Indonesia (Persero),PT KBI,yes
PT Kliring Berjangka Indonesia (Persero),Kliring Berjangka Indonesia,yes
PT Kliring Berjangka Indonesia (Persero),PT Solid Gold Berjangka,no
PT Kliring Berjangka Indonesia (Persero),PT Kliring Penjaminan Efek Indonesia,no
PT Krakatau Steel (Persero) Tbk.,Krakatau Steel,yes
PT Krakatau Steel (Persero) Tbk.,PT Krakatau Steel,yes
PT Krakatau Steel (Persero) Tbk.,PT Steel Pipe Industry of Indonesia Tbk,no
PT Krakatau Steel (Persero) Tbk.,PT Steel Center Indonesia,no
PT Len Industri (Persero),Len Industri,yes
PT Len Industri (Persero),Len,yes
PT Len Industri (Persero),PT Industri Kapal Indonesia (Persero),no
PT Len Industri (Persero),PT Lentera Dana Nusantara,no
PT PAL Indonesia (Persero),PAL Indonesia,yes
PT PAL Indonesia (Persero),PT PAL,yes
PT PAL Indonesia (Persero),PT Kliring Berjangka Indonesia (Persero),no
PT PAL Indonesia (Persero),PT Palma Serasih,no
PT PANN Pembiayaan Maritim (Persero),PT PANN,yes
PT PANN Pembiayaan Maritim (Persero),PANN Pembiayaan Maritim,yes
PT PANN Pembiayaan Maritim (Persero),PT Maritim Barito Perkasa,no
PT PANN Pembiayaan Maritim (Persero),PT Pembiayaan Digital Indonesia,no
PT Pegadaian (Persero),Pegadaian,yes
PT Pegadaian (Persero),PT Pegadaian Area Samarinda,yes
PT Pegadaian (Persero),PT Len Industri (Persero),no
PT Pegadaian (Persero),PT Pegasus Honor Indonesia,no
PT Pelabuhan Indonesia I (Persero),Pelindo I,yes
PT Pelabuhan Indonesia I (Persero),Pelabuhan Indonesia,yes
PT Pelabuhan Indonesia I (Persero),PT Pelabuhan Indonesia II,no
PT Pelabuhan Indonesia I (Persero),Pelabuhan Indonesia II,no
PT Pelabuhan Indonesia II (Persero),Pelindo II,yes
PT Pelabuhan Indonesia II (Persero),Pelabuhan Indonesia II,yes
PT Pelabuhan Indonesia II (Persero),Pelabuhan Indonesia,no
PT Pelabuhan Indonesia II (Persero),Pelindo,no
PT Pelabuhan Indonesia III (Persero),Pelabuhan Indonesia III,yes
PT Pelabuhan Indonesia III (Persero),Pelindo III,yes
PT Pelabuhan Indonesia III (Persero),Pelabuhan Indonesia II,no
PT Pelabuhan Indonesia III (Persero),Pelindo,no
PT Pelabuhan Indonesia IV (Persero),Pelabuhan Indonesia IV,yes
PT Pelabuhan Indonesia IV (Persero),Pelindo IV,yes
PT Pelabuhan Indonesia IV (Persero),PT Pelabuhan Indonesia I,no
PT Pelabuhan Indonesia IV (Persero),Pelindo,no
PT Pelayaran Nasional Indonesia (Persero) (Pelni),Pelayaran Nasional Indonesia,yes
PT Pelayaran Nasional Indonesia (Persero) (Pelni),PT PELNI,yes
PT Pelayaran Nasional Indonesia (Persero) (Pelni),PT Pelayaran Nasional Ekalya Purnamasari Tbk,no
PT Pelayaran Nasional Indonesia (Persero) (Pelni),PT Pelayaran Bahtera Adhiguna,no
PT Pembangunan Perumahan (Persero),PT PP,yes
PT Pembangunan Perumahan (Persero),Pembangunan Perumahan,yes
PT Pembangunan Perumahan (Persero),PT Pembangunan Jaya,no
PT Pembangunan Perumahan (Persero),PT Pembangunan Jaya Ancol,no
PT Penerbitan Dan Percetakan Balai Pustaka (Persero),PT Balai Pustaka,yes
PT Penerbitan Dan Percetakan Balai Pustaka (Persero),Balai Pustaka,yes
PT Penerbitan Dan Percetakan Balai Pustaka (Persero),Penerbit dan Percetakan Mediatama,no
PT Penerbitan Dan Percetakan Balai Pustaka (Persero),PT Percetakan Gramedia Cikarang,no
PT Pengembangan Pariwisata Indonesia (Persero),ITDC,yes
PT Pengembangan Pariwisata Indonesia (Persero),Pengembangan Pariwisata Indonesia,yes
PT Pengembangan Pariwisata Indonesia (Persero),Kementerian Pariwisata dan Ekonomi Kreatif Republik Indonesia,no
PT Pengembangan Pariwisata Indonesia (Persero),PT Pengembangan Investasi Riau,no
PT Pengusahaan Daerah Industri Pulau Batam (Persero),PT PDI Batam,yes
PT Pengusahaan Daerah Industri Pulau Batam (Persero),PT Persero Batam,yes
PT Pengusahaan Daerah Industri Pulau Batam (Persero),Pemerintah Kota Batam,no
PT Pengusahaan Daerah Industri Pulau Batam (Persero),PT Kawasan Industri Jababeka Tbk,no
PT Penjaminan Infrastruktur Indonesia (Persero),PT PII,yes
PT Penjaminan Infrastruktur Indonesia (Persero),PT PII Persero,yes
PT Penjaminan Infrastruktur Indonesia (Persero),PT Penjaminan Jamkrindo Syariah,no
PT Penjaminan Infrastruktur Indonesia (Persero),PT Infrastruktur Bisnis Sejahtera,no
PT Perikanan Nusantara,PT Perinus,yes
PT Perikanan Nusantara,PT Perinus (Persero),yes
PT Perikanan Nusantara,PT Perkebunan Nusantara III,no
PT Perikanan Nusantara,PT Nusantara Compnet Integrator,no
PT Perkebunan Nusantara III,PT. Perkebunan Nusantara III (Persero),yes
PT Perkebunan Nusantara III,PTPN III,yes
PT Perkebunan Nusantara III,PT Perkebunan Nusantara IV,no
PT Perkebunan Nusantara III,PT Perikanan Nusantara,no
PT Permodalan Nasional Madani (Persero),PT PNM,yes
PT Permodalan Nasional Madani (Persero),PT PNM (Persero),yes
PT Permodalan Nasional Madani (Persero),Pemodalan Nasional Berhad,no
PT Permodalan Nasional Madani (Persero),PT Media Solusi Internasional,no
PT Pertamina (Persero),Pertamina,yes
PT Pertamina (Persero),PT Pertamina,yes
PT Pertamina (Persero),PT Pertani,no
PT Pertamina (Persero),Pertamini,no
PT Pertani (Persero),Pertani,yes
PT Pertani (Persero),PT Pertani,yes
PT Pertani (Persero),PT Pertamina,no
PT Pertani (Persero),PT Tani Hub Indonesia,no
PT Perusahaan Gas Negara (Persero) Tbk,PGN,yes
PT Perusahaan Gas Negara (Persero) Tbk,Perusahaan Gas Negara,yes
PT Perusahaan Gas Negara (Persero) Tbk,PT Perusahaan Listrik Negara (Persero) (PLN),no
PT Perusahaan Gas Negara (Persero) Tbk,PT Pertamina Gas Negara Tbk,no
PT Perusahaan Listrik Negara (Persero) (PLN),PLN,yes
PT Perusahaan Listrik Negara (Persero) (PLN),Perusahaan Listrik Negara,yes
PT Perusahaan Listrik Negara (Persero) (PLN),PT Perusahaan Gas Negara (Persero) Tbk,no
PT Perusahaan Listrik Negara (Persero) (PLN),PT Perusahaan Pengelola Aset (Persero),no
PT Perusahaan Pengelola Aset (Persero),PT PPA,yes
PT Perusahaan Pengelola Aset (Persero),Perusahaan Pengelola Aset,yes
PT Perusahaan Pengelola Aset (Persero),Perusahaan Pengurusan Jasa Kepabeanan,no
PT Perusahaan Pengelola Aset (Persero),PT Aset Digital Berkat,no
PT Perusahaan Perdagangan Indonesia,PT PPI,yes
PT Perusahaan Perdagangan Indonesia,Perusahaan Perdagangan Indonesia,yes
PT Perusahaan Perdagangan Indonesia,Kementerian Perdagangan Republik Indonesia,no
PT Perusahaan Perdagangan Indonesia,PT Perdagangan Mistico Indonesia,no
PT Pindad (Persero),Pindad,yes
PT Pindad (Persero),PT Pindad,yes
PT Pindad (Persero),PT PAL,no
PT Pindad (Persero),PT Pinus Merah Abadi,no
PT Pos Indonesia (Persero),Pos Indonesia,yes
PT Pos Indonesia (Persero),PT Pos Indonesia KC Cirebon,yes
PT Pos Indonesia (Persero),PT Pos Properti Indonesia,no
PT Pos Indonesia (Persero),PT Posco Indonesia,no
PT Pupuk Indonesia Holding Company,Pupuk Indonesia,yes
PT Pupuk Indonesia Holding Company,PT Pupuk Indonesia (Persero),yes
PT Pupuk Indonesia Holding Company,Distributor Pupuk Bersubsidi,no
PT Pupuk Indonesia Holding Company,Indonesia Holding Company,no
PT Rajawali Nusantara Indonesia,PT Rajawali Nusindo,yes
PT Rajawali Nusantara Indonesia,ID FOOD,yes
PT Rajawali Nusantara Indonesia,PT Rajawali Citra Televisi Indonesia,no
PT Rajawali Nusantara Indonesia,PT Nusantara Laju Bersama,no
PT Reasuransi Indonesia Utama (Persero),Indonesia Re,yes
PT Reasuransi Indonesia Utama (Persero),Reasuransi Indonesia Utama,yes
PT Reasuransi Indonesia Utama (Persero),PT Indonesia Utama Abadi,no
PT Reasuransi Indonesia Utama (Persero),PT Reasuransi Nasional Indonesia,no
PT Sang Hyang Seri,SHS,yes
PT Sang Hyang Seri,PT Sang Hyang Seri Cabang Sidrap,yes
PT Sang Hyang Seri,Sanghyang Heuleut,no
PT Sang Hyang Seri,PT Sang Byte Indonesia,no
PT Sarana Multi Infrastruktur (Persero) (PT SMI),PT SMI,yes
PT Sarana Multi Infrastruktur (Persero) (PT SMI),Sarana Multi Infrastruktur,yes
PT Sarana Multi Infrastruktur (Persero) (PT SMI),PT Sarana Multigriya Finansial (Persero),no
PT Sarana Multi Infrastruktur (Persero) (PT SMI),PT Multi Wahana Kencana,no
PT Sarinah (Persero),Sarinah,yes
PT Sarinah (Persero),PT Sarinah,yes
PT Sarinah (Persero),PT Sariguna Primatirta,no
PT Sarinah (Persero),PT Sarimelati Kencana,no
PT Semen Baturaja (Persero),PT Semen Baturaja,yes
PT Semen Baturaja (Persero),Semen Baturaja,yes
PT Semen Baturaja (Persero),PT Semen Indonesia (Persero),no
PT Semen Baturaja (Persero),PT Semen Padang,no
"PT Semen Indonesia (Persero), Tbk.",PT Semen Indonesia,yes
"PT Semen Indonesia (Persero), Tbk.",Semen Indonesia,yes
"PT Semen Indonesia (Persero), Tbk.",PT Semen Baturaja (Persero),no
"PT Semen Indonesia (Persero), Tbk.",PT Tambang Semen Sukabumi,no
PT Sucofindo,PT Superintending Company of Indonesia,yes
PT Sucofindo,Sucofindo,yes
PT Sucofindo,PT Sucorinvest Asset Management,no
PT Sucofindo,PT Sucor Sekuritas,no
PT Surveyor Indonesia (Persero),Surveyor Indonesia,yes
PT Surveyor Indonesia (Persero),PTSI,yes
PT Surveyor Indonesia (Persero),PT Semen Indonesia (Persero),no
PT Surveyor Indonesia (Persero),PT Frasta Survey Indonesia,no
"PT Taman Wisata Candi Borobudur, Prambanan, Dan Ratu Boko (Persero)",PT TWC,yes
"PT Taman Wisata Candi Borobudur, Prambanan, Dan Ratu Boko (Persero)",PT Taman Wisata Candi,yes
"PT Taman Wisata Candi Borobudur, Prambanan, Dan Ratu Boko (Persero)",Taman Wisata Bougenville,no
"PT Taman Wisata Candi Borobudur, Prambanan, Dan Ratu Boko (Persero)",Taman Wisata Alam Sevillage,no
PT Varuna Tirta Prakasya (Persero),PT VTP,yes
PT Varuna Tirta Prakasya (Persero),Varuna Tirta Prakasya,yes
PT Varuna Tirta Prakasya (Persero),PT Varuna Artha Nugraha,no
PT Varuna Tirta Prakasya (Persero),PT Tirta Investama,no
